date,nikkei225_close,fwd36m_state,fwd36m_loss,fwd36m_mdd,fwd36m_exec,fwd60m_state,fwd60m_loss,fwd60m_mdd,fwd60m_exec,fwd120m_state,fwd120m_loss,fwd120m_mdd,fwd120m_exec
1999-01-29,14499.25,-31.05,1,-54.38,-30.88,-25.63,1,-63.48,-25.45,-44.87,1,-65.62,-44.74
1999-02-26,14367.54,-26.31,1,-54.78,-25.55,-23.15,1,-63.48,-22.36,-47.32,1,-65.62,-46.78
1999-03-31,15836.59,-30.38,1,-54.78,-32.48,-26.02,1,-63.48,-28.25,-48.79,1,-66.14,-50.33
1999-04-30,16701.53,-31.19,1,-54.78,-33.57,-29.58,1,-63.48,-32.02,-47.14,1,-66.14,-48.97
1999-05-31,16111.65,-26.99,1,-54.78,-28.31,-30.26,1,-63.48,-31.52,-40.90,1,-66.14,-41.97
1999-06-30,17529.74,-39.41,1,-54.78,-40.53,-32.35,1,-63.48,-33.60,-43.19,1,-66.14,-44.24
1999-07-30,17861.86,-44.70,1,-54.78,-44.59,-36.59,1,-63.48,-36.46,-42.02,1,-66.14,-41.90
1999-08-31,17436.56,-44.83,1,-54.78,-45.97,-36.45,1,-63.48,-37.75,-39.82,1,-66.14,-41.06
1999-09-30,17605.46,-46.70,1,-56.44,-47.02,-38.52,1,-63.48,-38.89,-42.44,1,-66.14,-42.79
1999-10-29,17942.08,-51.84,1,-59.49,-51.99,-39.97,1,-63.48,-40.15,-44.07,1,-66.14,-44.24
1999-11-30,18558.23,-50.34,1,-60.14,-50.18,-41.27,1,-63.48,-41.07,-49.64,1,-66.14,-49.47
1999-12-30,18934.34,-54.69,1,-60.14,-54.85,-39.32,1,-63.48,-39.54,-44.30,1,-66.14,-44.50
2000-01-31,19539.70,-57.32,1,-60.14,-57.06,-41.72,1,-63.48,-41.37,-47.81,1,-66.14,-47.50
2000-02-29,19959.52,-58.10,1,-60.14,-58.35,-41.18,1,-63.48,-41.54,-49.27,1,-66.14,-49.58
2000-03-31,20337.32,-60.80,1,-62.26,-61.53,-42.62,1,-63.48,-43.70,-45.47,1,-66.14,-46.50
2000-04-28,17973.70,-56.43,1,-58.74,-57.45,-38.75,1,-58.74,-40.18,-38.48,1,-61.74,-39.92
2000-05-31,16332.45,-48.42,1,-56.81,-49.54,-30.96,1,-56.81,-32.45,-40.19,1,-61.37,-41.48
2000-06-30,17411.05,-47.83,1,-56.81,-48.43,-33.47,1,-56.81,-34.24,-46.11,1,-61.37,-46.73
2000-07-31,15727.49,-39.19,1,-55.72,-40.60,-24.34,1,-55.72,-26.09,-39.36,1,-61.37,-40.76
2000-08-31,16861.26,-38.65,1,-54.88,-38.21,-26.38,1,-54.88,-25.84,-47.67,1,-61.37,-47.29
2000-09-29,15747.26,-35.11,1,-52.89,-35.74,-13.80,1,-52.89,-14.64,-40.50,1,-61.37,-41.08
2000-10-31,14539.60,-27.37,1,-50.60,-29.00,-6.42,1,-50.60,-8.51,-36.71,1,-61.37,-38.12
2000-11-30,14648.51,-31.05,1,-49.84,-31.92,1.53,0,-49.84,0.25,-32.16,1,-61.37,-33.02
2000-12-29,13785.69,-22.55,1,-47.64,-22.02,16.87,0,-47.64,17.67,-25.80,1,-61.37,-25.29
2001-01-31,13843.55,-22.10,1,-47.64,-21.74,20.27,0,-47.64,20.83,-26.05,1,-61.37,-25.70
2001-02-28,12883.54,-14.29,1,-47.64,-12.93,25.78,0,-47.64,27.79,-17.54,1,-61.37,-16.22
2001-03-30,12999.70,-9.88,1,-47.64,-9.45,31.23,0,-47.64,31.86,-24.96,1,-61.37,-24.60
2001-04-27,13934.32,-15.59,1,-47.64,-18.47,21.33,0,-47.64,17.20,-29.31,1,-61.37,-31.72
2001-05-31,13262.14,-15.27,1,-43.35,-15.27,16.63,0,-43.35,16.63,-26.91,1,-61.37,-26.91
2001-06-29,12969.05,-8.56,1,-41.34,-7.00,19.56,0,-41.34,21.60,-24.31,1,-61.37,-23.02
2001-07-31,11860.77,-4.51,1,-38.64,-5.30,30.32,0,-38.64,29.24,-17.10,1,-61.37,-17.78
2001-08-31,10713.51,3.44,0,-36.49,6.46,50.66,0,-36.49,55.06,-16.41,1,-61.37,-13.97
2001-09-28,9774.68,10.73,0,-36.49,8.54,64.99,0,-36.49,61.72,-10.99,1,-61.37,-12.76
2001-10-31,10366.34,3.91,0,-36.49,4.10,58.20,0,-36.49,58.49,-13.29,1,-61.37,-13.13
2001-11-30,10697.44,1.89,0,-36.49,5.10,52.13,0,-36.49,56.93,-21.15,1,-61.37,-18.67
2001-12-28,10542.62,8.97,0,-36.49,5.68,63.39,0,-36.49,58.45,-19.80,1,-61.37,-22.22
2002-01-31,9997.80,13.90,0,-36.49,16.30,73.87,0,-36.49,77.54,-11.96,1,-61.37,-10.10
2002-02-28,10587.83,10.89,0,-36.49,8.59,66.27,0,-36.49,62.82,-8.17,1,-61.37,-10.07
2002-03-29,11024.94,5.84,0,-36.49,5.81,56.80,0,-36.49,56.75,-8.54,1,-61.37,-8.57
2002-04-30,11492.54,-4.21,1,-36.49,-4.71,51.41,0,-36.49,50.62,-17.16,1,-61.37,-17.59
2002-05-31,11763.70,-4.14,1,-36.08,-5.25,51.96,0,-36.08,50.20,-27.38,1,-61.37,-28.22
2002-06-28,10621.84,9.06,0,-30.59,9.33,70.76,0,-30.59,71.19,-15.21,1,-61.37,-14.99
2002-07-31,9877.94,20.47,0,-24.43,21.50,74.62,0,-24.43,76.13,-11.97,1,-61.37,-11.22
2002-08-30,9619.30,29.05,0,-21.32,30.37,72.25,0,-21.32,74.02,-8.10,1,-61.37,-7.16
2002-09-30,9383.29,44.66,0,-18.92,48.15,78.89,0,-19.04,83.20,-5.47,1,-61.37,-3.19
