cn_year,pair_type,regime,jp_year,module,S_m,valid_pairs,eligible_pairs,coverage_ratio,module_pass,n_alive,S_total,method_id,calibration_id,coverage_rule_id,metric_id,status
2006,assigned,OTHER,1984,MONEY_CREDIT,-0.7778,1,1,1.0,True,5,-0.8818,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2006,assigned,OTHER,1984,EXTERNAL,-0.5377,1,2,0.5,True,5,-0.8818,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2006,assigned,OTHER,1984,DEMOGRAPHY_LABOR,-1.4431,2,2,1.0,True,5,-0.8818,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2006,J90_best,J90,1996,GROWTH,-0.9129,3,3,1.0,True,5,-0.9842,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2006,J90_best,J90,1996,INFLATION,-0.1776,1,1,1.0,True,5,-0.9842,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2006,J90_best,J90,1996,MONEY_CREDIT,-0.8225,1,1,1.0,True,5,-0.9842,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2006,J90_best,J90,1996,EXTERNAL,-1.6183,2,2,1.0,True,5,-0.9842,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2006,J90_best,J90,1996,DEMOGRAPHY_LABOR,-1.3895,2,2,1.0,True,5,-0.9842,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2007,assigned,OTHER,1984,GROWTH,-0.9613,3,3,1.0,True,5,-1.1523,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2007,assigned,OTHER,1984,INFLATION,-1.2557,1,1,1.0,True,5,-1.1523,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2007,assigned,OTHER,1984,MONEY_CREDIT,-0.82,1,1,1.0,True,5,-1.1523,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2007,assigned,OTHER,1984,EXTERNAL,-0.4312,1,2,0.5,True,5,-1.1523,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2007,assigned,OTHER,1984,DEMOGRAPHY_LABOR,-2.2931,2,2,1.0,True,5,-1.1523,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2007,J90_best,J90,1991,GROWTH,-1.9034,3,3,1.0,True,5,-1.2413,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2007,J90_best,J90,1991,INFLATION,-0.7065,1,1,1.0,True,5,-1.2413,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2007,J90_best,J90,1991,MONEY_CREDIT,-0.6347,1,1,1.0,True,5,-1.2413,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2007,J90_best,J90,1991,EXTERNAL,-1.7118,1,2,0.5,True,5,-1.2413,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2007,J90_best,J90,1991,DEMOGRAPHY_LABOR,-1.2499,2,2,1.0,True,5,-1.2413,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2008,assigned,J90,1991,GROWTH,-0.6368,3,3,1.0,True,5,-0.9855,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2008,assigned,J90,1991,INFLATION,-1.4485,1,1,1.0,True,5,-0.9855,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2008,assigned,J90,1991,MONEY_CREDIT,-0.8483,1,1,1.0,True,5,-0.9855,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2008,assigned,J90,1991,EXTERNAL,-0.9486,1,2,0.5,True,5,-0.9855,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2008,assigned,J90,1991,DEMOGRAPHY_LABOR,-1.0454,2,2,1.0,True,5,-0.9855,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2009,assigned,OTHER,1987,GROWTH,-1.1444,3,3,1.0,True,5,-1.1026,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2009,assigned,OTHER,1987,INFLATION,-1.2927,1,1,1.0,True,5,-1.1026,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2009,assigned,OTHER,1987,MONEY_CREDIT,-0.4365,1,1,1.0,True,5,-1.1026,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2009,assigned,OTHER,1987,EXTERNAL,-1.2116,1,2,0.5,True,5,-1.1026,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2009,assigned,OTHER,1987,DEMOGRAPHY_LABOR,-1.4278,2,2,1.0,True,5,-1.1026,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2009,J90_best,J90,1996,GROWTH,-1.0872,3,3,1.0,True,5,-1.628,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2009,J90_best,J90,1996,INFLATION,-1.3063,1,1,1.0,True,5,-1.628,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
2009,J90_best,J90,1996,MONEY_CREDIT,-2.9356,1,1,1.0,True,5,-1.628,H5-1-LEVEL-DECOMP,JPZ-1970-2025/CNZ-2000-2025,CR-2026-09,MANHATTAN,FROZEN-D-H5-1-20260906
