月份,指标,值,url
2019-06,供应商配送时间指数,50.2,PDF提取:2018-2021年12月PMI运行情况报告
2019-06,制造业PMI,49.4,PDF提取:2018-2021年12月PMI运行情况报告
2019-06,原材料库存指数,48.2,PDF提取:2018-2021年12月PMI运行情况报告
2019-06,新订单指数,49.6,PDF提取:2018-2021年12月PMI运行情况报告
2019-06,生产指数,51.3,PDF提取:2018-2021年12月PMI运行情况报告
2019-07,从业人员指数,47.1,PDF提取:2018-2021年12月PMI运行情况报告
2019-07,供应商配送时间指数,50.1,PDF提取:2018-2021年12月PMI运行情况报告
2019-07,制造业PMI,49.7,PDF提取:2018-2021年12月PMI运行情况报告
2019-07,原材料库存指数,48.0,PDF提取:2018-2021年12月PMI运行情况报告
2019-07,新订单指数,49.8,PDF提取:2018-2021年12月PMI运行情况报告
2019-07,生产指数,52.1,PDF提取:2018-2021年12月PMI运行情况报告
2019-08,从业人员指数,46.9,PDF提取:2018-2021年12月PMI运行情况报告
2019-08,供应商配送时间指数,50.3,PDF提取:2018-2021年12月PMI运行情况报告
2019-08,制造业PMI,49.5,PDF提取:2018-2021年12月PMI运行情况报告
2019-08,原材料库存指数,47.5,PDF提取:2018-2021年12月PMI运行情况报告
2019-08,新订单指数,49.7,PDF提取:2018-2021年12月PMI运行情况报告
2019-08,生产指数,51.9,PDF提取:2018-2021年12月PMI运行情况报告
2019-09,从业人员指数,47.0,PDF提取:2018-2021年12月PMI运行情况报告
2019-09,供应商配送时间指数,50.5,PDF提取:2018-2021年12月PMI运行情况报告
2019-09,制造业PMI,49.8,PDF提取:2018-2021年12月PMI运行情况报告
2019-09,原材料库存指数,47.6,PDF提取:2018-2021年12月PMI运行情况报告
2019-09,新订单指数,50.5,PDF提取:2018-2021年12月PMI运行情况报告
2019-09,生产指数,52.3,PDF提取:2018-2021年12月PMI运行情况报告
2019-10,从业人员指数,47.3,PDF提取:2018-2021年12月PMI运行情况报告
2019-10,供应商配送时间指数,50.1,PDF提取:2018-2021年12月PMI运行情况报告
2019-10,制造业PMI,49.3,PDF提取:2018-2021年12月PMI运行情况报告
2019-10,原材料库存指数,47.4,PDF提取:2018-2021年12月PMI运行情况报告
2019-10,新订单指数,49.6,PDF提取:2018-2021年12月PMI运行情况报告
2019-10,生产指数,50.8,PDF提取:2018-2021年12月PMI运行情况报告
2019-11,从业人员指数,47.3,PDF提取:2018-2021年12月PMI运行情况报告
2019-11,供应商配送时间指数,50.5,PDF提取:2018-2021年12月PMI运行情况报告
2019-11,制造业PMI,50.2,PDF提取:2018-2021年12月PMI运行情况报告
2019-11,原材料库存指数,47.8,PDF提取:2018-2021年12月PMI运行情况报告
2019-11,新订单指数,51.3,PDF提取:2018-2021年12月PMI运行情况报告
2019-11,生产指数,52.6,PDF提取:2018-2021年12月PMI运行情况报告
2019-12,从业人员指数,47.3,PDF提取:2018-2021年12月PMI运行情况报告
2019-12,供应商配送时间指数,51.1,PDF提取:2018-2021年12月PMI运行情况报告
2019-12,制造业PMI,50.2,PDF提取:2018-2021年12月PMI运行情况报告
2019-12,原材料库存指数,47.2,PDF提取:2018-2021年12月PMI运行情况报告
2019-12,新订单指数,51.2,PDF提取:2018-2021年12月PMI运行情况报告
2019-12,生产指数,53.2,PDF提取:2018-2021年12月PMI运行情况报告
2020-01,从业人员指数,47.5,PDF提取:2018-2021年12月PMI运行情况报告
2020-01,供应商配送时间指数,49.9,PDF提取:2018-2021年12月PMI运行情况报告
2020-01,制造业PMI,50.0,PDF提取:2018-2021年12月PMI运行情况报告
2020-01,原材料库存指数,47.1,PDF提取:2018-2021年12月PMI运行情况报告
2020-01,新订单指数,51.4,PDF提取:2018-2021年12月PMI运行情况报告
2020-01,生产指数,51.3,PDF提取:2018-2021年12月PMI运行情况报告
2020-02,从业人员指数,31.8,PDF提取:2018-2021年12月PMI运行情况报告
2020-02,供应商配送时间指数,32.1,PDF提取:2018-2021年12月PMI运行情况报告
2020-02,制造业PMI,35.7,PDF提取:2018-2021年12月PMI运行情况报告
2020-02,原材料库存指数,33.9,PDF提取:2018-2021年12月PMI运行情况报告
2020-02,新订单指数,29.3,PDF提取:2018-2021年12月PMI运行情况报告
2020-02,生产指数,27.8,PDF提取:2018-2021年12月PMI运行情况报告
2020-03,从业人员指数,50.9,PDF提取:2018-2021年12月PMI运行情况报告
2020-03,供应商配送时间指数,48.2,PDF提取:2018-2021年12月PMI运行情况报告
2020-03,制造业PMI,52.0,PDF提取:2018-2021年12月PMI运行情况报告
2020-03,原材料库存指数,49.0,PDF提取:2018-2021年12月PMI运行情况报告
2020-03,新订单指数,52.0,PDF提取:2018-2021年12月PMI运行情况报告
2020-03,生产指数,54.1,PDF提取:2018-2021年12月PMI运行情况报告
2020-04,从业人员指数,50.2,PDF提取:2018-2021年12月PMI运行情况报告
2020-04,供应商配送时间指数,50.1,PDF提取:2018-2021年12月PMI运行情况报告
2020-04,制造业PMI,50.8,PDF提取:2018-2021年12月PMI运行情况报告
2020-04,原材料库存指数,48.2,PDF提取:2018-2021年12月PMI运行情况报告
