date,time,RMB_LOAN,RMB_LOAN_SAME,RMB_LOAN_SEQUENTIAL,RMB_LOAN_ACCUMULATE,LOAN_ACCUMULATE_SAME
2019-01-01,2019年01月份,35668.35953,32.84179246,284.29668051,35668.35953,32.84179246
2018-12-01,2018年12月份,9281.464384,60.87147054,-24.55522504,156712.410745,13.20501816
2018-11-01,2018年11月份,12302.32894,7.64641534,72.27057953,147430.946361,11.13201091
2018-10-01,2018年10月份,7141.282611,7.6264382,-50.20373064,135128.617421,11.46058912
2018-09-01,2018年09月份,14340.99924,20.6662837,9.14003537,127987.33481,11.68258501
2018-08-01,2018年08月份,13139.99871,14.5981459,2.16813128,113646.33557,10.64310161
2018-07-01,2018年07月份,12861.15205,40.53507867,-23.38779932,100506.33686,10.14611485
2018-06-01,2018年06月份,16787.34188,15.97990156,47.30669945,87645.18481,6.75856503
2018-05-01,2018年05月份,11396.18357,-3.26115181,3.72094281,70857.84293,4.78476439
2018-04-01,2018年04月份,10987.35054,1.68117457,-3.82699632,59461.65936,6.48212339
2018-03-01,2018年03月份,11424.56835,-1.39381275,12.0112183,48474.30882,7.63403056
2018-02-01,2018年02月份,10199.48584,-1.1420837,-62.01344836,37049.74047,10.76098302
2018-01-01,2018年01月份,26850.25463,16.06978423,365.38345331,26850.25463,16.06978423
2017-12-01,2017年12月份,5769.490608,-41.97311036,-49.5164708,138432.388676,11.30478036
2017-11-01,2017年11月份,11428.46132,35.03612743,72.23860936,132662.898068,15.93409719
2017-10-01,2017年10月份,6635.249415,10.39741165,-44.17049503,121234.436748,14.40846628
2017-09-01,2017年09月份,11884.84372,-5.88546234,3.65153641,114599.187333,14.64965008
2017-08-01,2017年08月份,11466.15297,43.88092191,25.29178595,102714.343613,17.61913226
2017-07-01,2017年07月份,9151.560003,101.12332269,-36.7739672,91248.190643,14.98192565
2017-06-01,2017年06月份,14474.35431,10.14561976,22.86853363,82096.63064,9.74237978
2017-05-01,2017年05月份,11780.35896,25.6669785,9.01997998,67622.27633,9.65645074
2017-04-01,2017年04月份,10805.68806,91.52050855,-6.7354085,55841.91737,6.78634177
2017-03-01,2017年03月份,11586.05628,-12.0640436,12.29716869,45036.22931,-3.46153876
