月份,存量(万亿元),同比(%),标题,url
2018-01,177.6,11.3,2018年1月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/15dd57f49e17434f8b5b6ad21a2bf577/index.html
2017-11,173.67,12.5,2017年11月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/35926b6d7ce74eb1a19ec3f5c1ee2301/index.html
2017-10,172.21,13,2017年10月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/7be14de703d74d1f93f6367c9fc126f8/index.html
2017-09,171.23,13,2017年9月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/35364fe81df54201a42ab417a34a3c70/index.html
2017-08,169.41,13.1,2017年8月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/1f9fddf5e1a144a2bfc54c6c33e15957/index.html
2017-07,168.01,13.2,2017年7月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/317e2e301a5e4360bc090aca5c259569/index.html
2017-06,166.92,12.8,2017年6月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/813af3681d0845dca48501981a5463e7/index.html
2017-05,165.2,12.9,2017年5月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/cf6310da69274348bff1ad9754e39517/index.html
2017-04,164.2,12.8,2017年4月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/eb239c1fbb9349da8b8c5f463806ef8d/index.html
2017-03,162.82,12.5,2017年3月末社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/c3b35d871a8b4f83aeaa1212bb49306e/index.html
2017-02,160.73,12.8,2017年2月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/baf407c74a8d4a6ca9a2688832a5340f/index.html
2017-01,159.65,12.8,2017年1月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/3b2fd71aa3494f4aaa180bf4d8db9e14/index.html
2016-11,154.36,13.3,2016年11月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/94f3fe524bc44b0895d5aad5cb93b602/index.html
2016-10,152.41,12.7,2016年10月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/0d28173ac5ae4633a68c75393546f34b/index.html
2016-09,151.51,12.5,2016年9月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/36de8c6173514571b91a93ed90b835b1/index.html
2016-08,149.83,12.3,2016年8月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/dd4ee632ba014f7fb04d43615f35538b/index.html
2016-07,148.38,12.2,2016年7月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/fea83da4ff5f4f98a4bdac5660145fe3/index.html
2016-06,147.94,12.3,2016年上半年社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/7e0ce181fc7546298ea86962de93f0c5/index.html
2016-05,146.33,12.6,2016年5月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/c87c49353cbd492ea61d80ccf1aa4c84/index.html
2016-04,145.59,13.1,2016年4月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/b455551f61cb4582bb322ba3309c99e9/index.html
2016-03,144.75,13.4,2016年3月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/03d0b72c518348a880937806f367d3ac/index.html
2016-01,141.57,13.1,2016年1月社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/cd78c16e0c6c447788b0a26997ded604/index.html
2015-12,138.14,12.4,2015年社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/76c1bf5d8c034cceb7be29f5fb3083e8/index.html
2015-09,134.70,12.5,2015年前三季度社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/f45f75fe834c456f9dae2037bb21b246/index.html
2015-06,131.58,11.9,2015年上半年社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2903266/index.html
2015-03,127.52,12.9,2015年一季度社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2811782/index.html
2014-12,122.86,14.3,2014年社会融资规模存量统计数据报告,https://www.pbc.gov.cn/diaochatongjisi/116219/116225/2810586/index.html
