月份,期间类型,标的证券数量(只),融资买入金额(亿),融券卖出金额(亿),融资融券交易金额(亿),融资余额(亿),融券余额(亿),余额合计(亿),证券公司家数,营业部数量,期末账户数(户),本期新开账户数(户),担保物股票市值(亿),担保物债券基金(亿),担保物小计(亿),担保资金(亿),担保物合计(亿),平均担保比例(%)
2013-02,monthly,510.0,1680.554160055,310.7834308509,1991.3375909059,1369.9002823436,32.8695047326,1402.7697870762,74.0,4239.0,1104264.0,60475.0,3524.0007865012,27.9838727955,3551.9846592967,200.14,3752.1246592967,258.857416933061
2013-03,monthly,507.0,2096.2182956525,495.8233057037,2592.0416013562,1616.8996109866,30.34945059349,1647.24906158009,74.0,4356.0,1268947.0,166750.0,3726.2969039388,31.1293152141,3757.4262191529,240.5561297846,3997.9823489375003,238.177951784728
2013-04,monthly,508.0,1511.0531548522,365.2462109394,1876.2993657916,1749.306234609,30.92921493058,1780.23544953958,76.0,4469.0,1412861.0,145600.0,3939.7320871232,32.8546736968,3972.58676082,231.3053444514,4203.8921052714,233.08
2013-05,monthly,507.0,3045.9296360462,479.2257189335,3525.1553549797,2180.4882457211,35.76699008681,2216.25523580791,79.0,4604.0,1634210.0,223922.0,5087.7174057836,36.3789519439,5124.0963577275,288.9679102499,5413.0642679774,243.824800292666
2013-06,monthly,507.0,1944.7595100627,450.3317773659,2395.0912874286,2187.9973344817,36.75814692947,2224.75548141117,79.0,4670.0,1823919.0,191750.0,4530.8181409156,36.1246105314,4566.942751447,284.648713574,4851.591465021,215.175356748205
2013-07,monthly,508.0,2771.4309324762,603.0207886824,3374.4517211586,2285.2572886649,47.89982923797,2333.15711790287,79.0,4711.0,1971861.0,150587.0,4924.0693390782,69.429120036,4993.4984591142,344.371409872,5337.8698689862,223.025411327339
2013-08,monthly,506.0,3263.7672606353,551.1155890585,3814.8828496938,2485.6198811312,41.1086063888,2526.72848752,79.0,4739.0,2095817.0,126777.0,5554.9211446751,43.7309366623,5598.6520813374,294.7416557011,5893.3937370385,230.694214036998
2013-09,monthly,712.0,4015.156495553,538.27472018,4553.431215733,2827.6915980742,33.75618335409,2861.44778142829,79.0,4766.0,2237594.0,145132.0,6471.3040571321,39.7071116345,6511.0111687666,198.864123257,6709.8752920236,233.996363224335
2013-10,monthly,712.0,3711.6632906541,523.5649467307,4235.2282373848,3109.8427719913,36.067170875,3145.9099428663,81.0,4808.0,2366394.0,122071.0,7587.5195870803,41.4381239129,7628.9577109932,298.7887135005,7927.7464244937,228.86
2013-11,monthly,712.0,3506.585867317,556.1544610325,4062.7403283495,3234.8190665747,38.5062424043,3273.325308979,83.0,4839.0,2508354.0,139910.0,8371.2537214767,48.0773777696,8419.3310992463,313.4168015787,8732.747900825,240.9
2013-12,monthly,713.0,3453.7069036099,535.4782864497,3989.1851900596002,3435.0638836053,30.410221906300002,3465.4741055115996,84.0,4869.0,2671728.0,161091.0,8428.1658512537,54.4163416225,8482.582192876198,282.4075813594,8764.989774235599,229.35
2014-01,monthly,713.0,3063.4999005249,432.14690988160004,3495.6468104065,3472.1714129670004,19.8387231552,3492.0101361222,84.0,4920.0,2814174.0,139690.0,8734.0256892289,53.9465660411,8787.97225527,281.3232247212,9069.2954799912,232.47
2014-02,monthly,713.0,3937.4359190710998,475.2783855379,4412.714304609,3837.0722845103,25.6861407377,3862.7584252479996,84.0,4970.0,2963320.0,142706.0,9395.3547335038,50.7863957581,9446.141129261901,391.987719638,9838.128848899902,230.15
