期间,指标,值,url
2023-FY,城镇人均可支配收入(元),51821,https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html
2023-FY,农村人均可支配收入(元),21691,https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html
2023-FY,可支配收入中位数(元),33036,https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946622.html
2023-Q3,"人均可支配收入(元,累计)",29398,https://www.stats.gov.cn/sj/zxfb/202310/t20231018_1943659.html
2023-Q3,可支配收入名义增速(%),6.3,https://www.stats.gov.cn/sj/zxfb/202310/t20231018_1943659.html
2023-Q3,可支配收入实际增速(%),5.9,https://www.stats.gov.cn/sj/zxfb/202310/t20231018_1943659.html
2023-Q3,"人均消费支出(元,累计)",19530,https://www.stats.gov.cn/sj/zxfb/202310/t20231018_1943659.html
2023-Q3,消费支出名义增速(%),9.2,https://www.stats.gov.cn/sj/zxfb/202310/t20231018_1943659.html
2023-Q3,消费支出实际增速(%),8.8,https://www.stats.gov.cn/sj/zxfb/202310/t20231018_1943659.html
2023-Q3,城镇人均可支配收入(元),39428,https://www.stats.gov.cn/sj/zxfb/202310/t20231018_1943659.html
2023-Q3,农村人均可支配收入(元),15705,https://www.stats.gov.cn/sj/zxfb/202310/t20231018_1943659.html
2023-Q3,可支配收入中位数(元),24528,https://www.stats.gov.cn/sj/zxfb/202310/t20231018_1943659.html
2023-H1,"人均可支配收入(元,累计)",19672,https://www.stats.gov.cn/sj/zxfb/202307/t20230715_1941274.html
2023-H1,可支配收入名义增速(%),6.5,https://www.stats.gov.cn/sj/zxfb/202307/t20230715_1941274.html
2023-H1,可支配收入实际增速(%),5.8,https://www.stats.gov.cn/sj/zxfb/202307/t20230715_1941274.html
2023-H1,"人均消费支出(元,累计)",12739,https://www.stats.gov.cn/sj/zxfb/202307/t20230715_1941274.html
2023-H1,消费支出名义增速(%),8.4,https://www.stats.gov.cn/sj/zxfb/202307/t20230715_1941274.html
2023-H1,消费支出实际增速(%),7.6,https://www.stats.gov.cn/sj/zxfb/202307/t20230715_1941274.html
2023-H1,城镇人均可支配收入(元),26357,https://www.stats.gov.cn/sj/zxfb/202307/t20230715_1941274.html
2023-H1,农村人均可支配收入(元),10551,https://www.stats.gov.cn/sj/zxfb/202307/t20230715_1941274.html
2023-H1,可支配收入中位数(元),16393,https://www.stats.gov.cn/sj/zxfb/202307/t20230715_1941274.html
2023-Q1,"人均可支配收入(元,累计)",10870,https://www.stats.gov.cn/sj/zxfb/202304/t20230418_1938712.html
2023-Q1,可支配收入名义增速(%),5.1,https://www.stats.gov.cn/sj/zxfb/202304/t20230418_1938712.html
2023-Q1,可支配收入实际增速(%),3.8,https://www.stats.gov.cn/sj/zxfb/202304/t20230418_1938712.html
2023-Q1,"人均消费支出(元,累计)",6738,https://www.stats.gov.cn/sj/zxfb/202304/t20230418_1938712.html
2023-Q1,消费支出名义增速(%),5.4,https://www.stats.gov.cn/sj/zxfb/202304/t20230418_1938712.html
2023-Q1,消费支出实际增速(%),4.0,https://www.stats.gov.cn/sj/zxfb/202304/t20230418_1938712.html
2023-Q1,城镇人均可支配收入(元),14388,https://www.stats.gov.cn/sj/zxfb/202304/t20230418_1938712.html
2023-Q1,农村人均可支配收入(元),6131,https://www.stats.gov.cn/sj/zxfb/202304/t20230418_1938712.html
2023-Q1,可支配收入中位数(元),8895,https://www.stats.gov.cn/sj/zxfb/202304/t20230418_1938712.html
2022-FY,"人均可支配收入(元,累计)",36883,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html
2022-FY,可支配收入名义增速(%),5.0,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html
2022-FY,可支配收入实际增速(%),2.9,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html
2022-FY,城镇人均可支配收入(元),49283,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html
2022-FY,农村人均可支配收入(元),20133,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html
2022-FY,可支配收入中位数(元),31370,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901715.html
2022-Q3,"人均可支配收入(元,累计)",27650,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901621.html
2022-Q3,可支配收入名义增速(%),5.3,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901621.html
2022-Q3,可支配收入实际增速(%),3.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901621.html
2022-Q3,"人均消费支出(元,累计)",17878,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901621.html
2022-Q3,消费支出名义增速(%),3.5,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901621.html
2022-Q3,消费支出实际增速(%),1.5,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901621.html
2022-Q3,城镇人均可支配收入(元),37482,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901621.html
2022-Q3,农村人均可支配收入(元),14600,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901621.html
2022-Q3,可支配收入中位数(元),23277,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901621.html
2022-H1,"人均可支配收入(元,累计)",18463,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901519.html
2022-H1,可支配收入名义增速(%),4.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901519.html
2022-H1,可支配收入实际增速(%),3.0,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901519.html
2022-H1,"人均消费支出(元,累计)",11756,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901519.html
2022-H1,消费支出名义增速(%),2.5,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901519.html
2022-H1,消费支出实际增速(%),0.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901519.html
2022-H1,城镇人均可支配收入(元),25003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901519.html
2022-H1,农村人均可支配收入(元),9787,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901519.html
2022-H1,可支配收入中位数(元),15560,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901519.html
2022-Q1,"人均可支配收入(元,累计)",10345,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901433.html
2022-Q1,可支配收入名义增速(%),6.3,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901433.html
2022-Q1,可支配收入实际增速(%),5.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901433.html
2022-Q1,"人均消费支出(元,累计)",6393,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901433.html
2022-Q1,消费支出名义增速(%),6.9,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901433.html
2022-Q1,消费支出实际增速(%),5.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901433.html
2022-Q1,城镇人均可支配收入(元),13832,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901433.html
2022-Q1,农村人均可支配收入(元),5778,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901433.html
2022-Q1,可支配收入中位数(元),8504,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901433.html
2021-FY,"人均可支配收入(元,累计)",35128,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html
2021-FY,可支配收入名义增速(%),9.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html
2021-FY,可支配收入实际增速(%),8.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html
2021-FY,"人均消费支出(元,累计)",24100,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html
2021-FY,消费支出名义增速(%),13.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html
2021-FY,消费支出实际增速(%),12.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html
2021-FY,城镇人均可支配收入(元),47412,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html
2021-FY,农村人均可支配收入(元),18931,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html
2021-FY,可支配收入中位数(元),29975,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901342.html
2021-Q3,"人均可支配收入(元,累计)",26265,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901246.html
2021-Q3,可支配收入名义增速(%),10.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901246.html
2021-Q3,可支配收入实际增速(%),9.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901246.html
2021-Q3,"人均消费支出(元,累计)",17275,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901246.html
2021-Q3,消费支出名义增速(%),15.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901246.html
2021-Q3,消费支出实际增速(%),15.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901246.html
2021-Q3,城镇人均可支配收入(元),35946,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901246.html
2021-Q3,农村人均可支配收入(元),13726,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901246.html
2021-Q3,可支配收入中位数(元),22157,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901246.html
