date,reference_month,fai_sa_mom_pct,source_release_period,revision_status,verification_status,pit_use_status,source_url
2024-09-01,2024-09,0.80,2025-09 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202510/t20251020_1961610.html
2024-10-01,2024-10,-0.34,2025-10 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202511/t20251114_1961854.html
2024-11-01,2024-11,-0.55,2025-11 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202512/t20251215_1962073.html
2024-12-01,2024-12,1.46,2025-12 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962326.html
2025-01-01,2025-01,-1.66,2026-01/02 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202603/t20260316_1962784.html
2025-02-01,2025-02,0.27,2026-01/02 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfbhjd/202603/t20260316_1962784.html
2025-03-01,2025-03,-1.90,2026-03 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202604/t20260416_1963328.html
2025-04-01,2025-04,1.67,2026-04 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202605/t20260518_1963730.html
2025-05-01,2025-05,0.92,2026-05 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963951.html
2025-06-01,2025-06,-1.41,2026-06 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202607/t20260715_1964124.html
2025-07-01,2025-07,-0.38,2026-07 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202608/t20260817_1965054.html
2025-08-01,2025-08,-0.77,2026-07 release,LATEST_AVAILABLE_REVISION_AS_OF_2026-08-17,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202608/t20260817_1965054.html
