variable_id,display_name,layer,aggregation,observed_start,observed_end,n_nonnull,n_null,coverage_rate,risk,NOT_APPLICABLE,NOT_RELEASED,SOURCE_GAP,COVERAGE_LOW,STALE_SOURCE,LEGACY_REGIME,RETROSPECTIVE_NOT_AVAILABLE,INSUFFICIENT_HISTORY,HISTORY_SNAPSHOT_ONLY,HANDOFF_TO_QUARTERLY,all_na_segments,major_structural_gaps
rate.policy7d,rate.policy7d,STATE,last_known,2015-01,2026-07,139,84,62.3%,,84,0,0,0,0,0,0,0,0,0,"2008-01~2014-12(84个月,PRE_INCEPTION,NOT_APPLICABLE)","2008-01~2014-12(84个月,PRE_INCEPTION,NOT_APPLICABLE)"
rate.rrr_announced,存款准备金率(已公告),STATE,announced,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
rate.rrr_effective,存款准备金率(已生效),STATE,effective,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
rate.shibor3m_mean,Shibor3M月均,STATE,monthly_mean,2008-01,2026-07,203,20,91.0%,,0,0,6,14,0,0,0,0,0,0,"2016-06~2016-06(1个月,INTERNAL_GAP,COVERAGE_LOW); 2016-12~2016-12(1个月,INTERNAL_GAP,COVERAGE_LOW); 2017-06~2017-06(1个月,INTERNAL_GAP,COVERAGE_LOW); 2017-12~2017-12(1个月,INTERNAL_GAP,COVERAGE_LOW); 2018-06~2018-06(1个月,INTERNAL_GAP,COVERAGE_LOW); 2018-12~2018-12(1个月,INTERNAL_GAP,SOURCE_GAP); 2019-06~2019-06(1个月,INTERNAL_GAP,SOURCE_GAP); 2019-12~2019-12(1个月,INTERNAL_GAP,SOURCE_GAP); 2020-06~2020-06(1个月,INTERNAL_GAP,COVERAGE_LOW); 2020-12~2020-12(1个月,INTERNAL_GAP,COVERAGE_LOW); 2021-06~2021-06(1个月,INTERNAL_GAP,COVERAGE_LOW); 2021-12~2021-12(1个月,INTERNAL_GAP,COVERAGE_LOW); 2022-06~2022-06(1个月,INTERNAL_GAP,COVERAGE_LOW); 2022-12~2022-12(1个月,INTERNAL_GAP,COVERAGE_LOW); 2023-06~2023-06(1个月,INTERNAL_GAP,COVERAGE_LOW); 2023-12~2023-12(1个月,INTERNAL_GAP,COVERAGE_LOW); 2024-06~2024-06(1个月,INTERNAL_GAP,SOURCE_GAP); 2024-12~2024-12(1个月,INTERNAL_GAP,SOURCE_GAP); 2025-06~2025-06(1个月,INTERNAL_GAP,SOURCE_GAP); 2025-12~2025-12(1个月,INTERNAL_GAP,COVERAGE_LOW)",
rate.shibor_on_mean,Shibor隔夜月均,STATE,monthly_mean,2008-01,2026-07,203,20,91.0%,,0,0,6,14,0,0,0,0,0,0,"2016-06~2016-06(1个月,INTERNAL_GAP,COVERAGE_LOW); 2016-12~2016-12(1个月,INTERNAL_GAP,COVERAGE_LOW); 2017-06~2017-06(1个月,INTERNAL_GAP,COVERAGE_LOW); 2017-12~2017-12(1个月,INTERNAL_GAP,COVERAGE_LOW); 2018-06~2018-06(1个月,INTERNAL_GAP,COVERAGE_LOW); 2018-12~2018-12(1个月,INTERNAL_GAP,SOURCE_GAP); 2019-06~2019-06(1个月,INTERNAL_GAP,SOURCE_GAP); 2019-12~2019-12(1个月,INTERNAL_GAP,SOURCE_GAP); 2020-06~2020-06(1个月,INTERNAL_GAP,COVERAGE_LOW); 2020-12~2020-12(1个月,INTERNAL_GAP,COVERAGE_LOW); 2021-06~2021-06(1个月,INTERNAL_GAP,COVERAGE_LOW); 2021-12~2021-12(1个月,INTERNAL_GAP,COVERAGE_LOW); 2022-06~2022-06(1个月,INTERNAL_GAP,COVERAGE_LOW); 2022-12~2022-12(1个月,INTERNAL_GAP,COVERAGE_LOW); 2023-06~2023-06(1个月,INTERNAL_GAP,COVERAGE_LOW); 2023-12~2023-12(1个月,INTERNAL_GAP,COVERAGE_LOW); 2024-06~2024-06(1个月,INTERNAL_GAP,SOURCE_GAP); 2024-12~2024-12(1个月,INTERNAL_GAP,SOURCE_GAP); 2025-06~2025-06(1个月,INTERNAL_GAP,SOURCE_GAP); 2025-12~2025-12(1个月,INTERNAL_GAP,COVERAGE_LOW)",
rate.us10y,rate.us10y,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
val.pb,val.pb,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
val.pe_median,val.pe_median,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
val.pe_static,val.pe_static,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
val.pe_ttm,val.pe_ttm,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
