variable_id,source_file,source_rows,observed_rows,omitted_null_rows,filter_reason
hh.consumer_satisfaction,em_xfzxx.csv,234,234,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
hh.deposit,manual_deposit_bridge.csv,138,138,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
hh.deposit_hist,manual_deposit_legacy.csv,36,36,0,merge附加源: 与主源重叠参考月/NA行不追加
hh.deposit_hist,money_supply_pboc_detail.csv,583,86,497,observed-only: NA/空值/解析失败/regime过滤行不写入长表
hh.income_annual,income_annual_2013_2020.csv,8,8,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
hh.income_quarterly,nbs_income_quarterly.csv,20,20,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
inf.cpi_core,manual_core_cpi.csv,67,67,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
inf.cpi_yoy,cpi_index.csv,223,223,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
inf.enterprise_goods,em_qyspjg.csv,259,259,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
inf.ppi_yoy,ppi_index.csv,247,247,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
inf.ppirm,manual_ppirm.csv,67,67,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
liq.afre_stock_yoy_official,manual_afre_official.csv,223,138,85,observed-only: NA/空值/解析失败/regime过滤行不写入长表
liq.cbb,central_bank_balance.csv,355,295,60,observed-only: NA/空值/解析失败/regime过滤行不写入长表
liq.fx_loans_change,em_whxd.csv,223,223,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
liq.m0_yoy,em_hbgyl.csv,223,0,223,merge附加源: 与主源重叠参考月/NA行不追加
liq.m0_yoy,money_supply_m0m1m2.csv,223,223,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
liq.m1_new,m1_new_caliber_2024.csv,12,12,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
liq.m1_yoy,em_hbgyl.csv,223,0,223,merge附加源: 与主源重叠参考月/NA行不追加
liq.m1_yoy,money_supply_m0m1m2.csv,223,223,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
liq.m2_yoy,em_hbgyl.csv,223,0,223,merge附加源: 与主源重叠参考月/NA行不追加
liq.m2_yoy,money_supply_m0m1m2.csv,223,223,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
liq.money_detail,money_supply_pboc_detail.csv,583,361,222,observed-only: NA/空值/解析失败/regime过滤行不写入长表
liq.total_deposits_change,em_wbck.csv,223,223,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
mar.market_balance,manual_market_balance.csv,20,18,2,merge附加源: 与主源重叠参考月/NA行不追加
mar.market_balance,margin_financing_market_monthly.csv,159,159,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
mar.stock_turnover,em_gpjytj.csv,224,223,1,observed-only: NA/空值/解析失败/regime过滤行不写入长表
mar.sz_monthly,margin_financing_sz_monthly.csv,198,198,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
mkt.000985,index_000985_csindex.csv,4533,4533,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
mkt.hs300_510300,hs300_total_return_510300.csv,3477,3477,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
mkt.hs300_price,index_000300_sina.csv,4531,4531,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
mkt.hs300_tri,hs300_total_return_H00300.csv,4533,4533,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
mkt.hs300_volume,index_000300_sina.csv,4531,4531,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
mkt.sh000001,index_000001_sina.csv,4531,4531,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
mkt.sz399001,index_399001_sina.csv,4531,4531,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
rate.cn10y,china_bond_yield.csv,4969,4660,309,observed-only: NA/空值/解析失败/regime过滤行不写入长表
rate.cn2y,china_bond_yield.csv,4969,4660,309,observed-only: NA/空值/解析失败/regime过滤行不写入长表
rate.cn30y,china_bond_yield.csv,4969,4660,309,observed-only: NA/空值/解析失败/regime过滤行不写入长表
rate.cn5y,china_bond_yield.csv,4969,4660,309,observed-only: NA/空值/解析失败/regime过滤行不写入长表
rate.fdr007,fr_fixing_rates.csv,5154,2145,3009,observed-only: NA/空值/解析失败/regime过滤行不写入长表
rate.fr007,fr_fixing_rates.csv,5154,5154,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
rate.lpr1y,lpr_rate.csv,1537,85,1452,observed-only: NA/空值/解析失败/regime过滤行不写入长表
rate.lpr5y,lpr_rate.csv,85,85,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
rate.policy7d,reverse_repo_7d_events.csv,26,26,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
rate.rrr,reserve_requirement_ratio.csv,58,58,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
rate.rrr_events_em,em_ckzbj.csv,58,116,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
rate.shibor3m,shibor_daily_canonical.csv,4555,4555,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
rate.shibor_on,shibor_daily_canonical.csv,4555,4555,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
rate.us10y,china_bond_yield.csv,4969,4663,306,observed-only: NA/空值/解析失败/regime过滤行不写入长表
val.pb,hs300_pb_lg.csv,4531,4531,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
val.pe_median,hs300_pe_lg.csv,4531,4531,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
val.pe_static,hs300_pe_lg.csv,4531,4531,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
val.pe_ttm,hs300_pe_lg.csv,4531,4531,0,observed-only: NA/空值/解析失败/regime过滤行不写入长表
