dataset,decision_month,feature,na_reason
baseline_2008_monthly,2008-09,pmi_gap,
baseline_2008_monthly,2008-09,delta_pmi,
baseline_2008_monthly,2008-09,loans_12m,INSUFFICIENT_HISTORY
baseline_2008_monthly,2008-09,val.pb,
baseline_2008_monthly,2008-09,rate.fr007_mean,
baseline_2008_monthly,2008-09,gro.ip_yoy,
baseline_2008_monthly,2008-09,gro.retail_yoy,
baseline_2008_monthly,2008-09,gro.gdp_yoy,
baseline_2008_monthly,2008-09,inf.cpi_yoy,
baseline_2008_monthly,2008-09,inf.ppi_yoy,
baseline_2008_monthly,2008-09,liq.m2_yoy,
baseline_2008_monthly,2008-10,ey,
baseline_2008_monthly,2008-10,eyg,
baseline_2008_monthly,2008-10,term_spread,
baseline_2008_monthly,2008-10,pmi_gap,
baseline_2008_monthly,2008-10,delta_pmi,
baseline_2008_monthly,2008-10,loans_12m,INSUFFICIENT_HISTORY
baseline_2008_monthly,2008-10,val.pb,
baseline_2008_monthly,2008-10,rate.fr007_mean,
baseline_2008_monthly,2008-10,gro.ip_yoy,
baseline_2008_monthly,2008-10,gro.retail_yoy,
baseline_2008_monthly,2008-10,gro.gdp_yoy,
baseline_2008_monthly,2008-10,inf.cpi_yoy,
baseline_2008_monthly,2008-10,inf.ppi_yoy,
baseline_2008_monthly,2008-10,liq.m2_yoy,
baseline_2008_monthly,2008-11,ey,
baseline_2008_monthly,2008-11,eyg,
baseline_2008_monthly,2008-11,term_spread,
baseline_2008_monthly,2008-11,pmi_gap,
baseline_2008_monthly,2008-11,delta_pmi,
baseline_2008_monthly,2008-11,loans_12m,INSUFFICIENT_HISTORY
baseline_2008_monthly,2008-11,val.pb,
baseline_2008_monthly,2008-11,rate.fr007_mean,
baseline_2008_monthly,2008-11,gro.ip_yoy,
baseline_2008_monthly,2008-11,gro.retail_yoy,
baseline_2008_monthly,2008-11,gro.gdp_yoy,
baseline_2008_monthly,2008-11,inf.cpi_yoy,
baseline_2008_monthly,2008-11,inf.ppi_yoy,
baseline_2008_monthly,2008-11,liq.m2_yoy,
baseline_2008_monthly,2008-12,ey,
baseline_2008_monthly,2008-12,eyg,
baseline_2008_monthly,2008-12,term_spread,
baseline_2008_monthly,2008-12,pmi_gap,
baseline_2008_monthly,2008-12,delta_pmi,
baseline_2008_monthly,2008-12,loans_12m,INSUFFICIENT_HISTORY
baseline_2008_monthly,2008-12,val.pb,
baseline_2008_monthly,2008-12,rate.fr007_mean,
baseline_2008_monthly,2008-12,gro.ip_yoy,
baseline_2008_monthly,2008-12,gro.retail_yoy,
baseline_2008_monthly,2008-12,gro.gdp_yoy,
baseline_2008_monthly,2008-12,inf.cpi_yoy,
baseline_2008_monthly,2008-12,inf.ppi_yoy,
baseline_2008_monthly,2008-12,liq.m2_yoy,
baseline_2008_monthly,2009-01,ey,
baseline_2008_monthly,2009-01,eyg,
baseline_2008_monthly,2009-01,term_spread,
baseline_2008_monthly,2009-01,pmi_gap,
baseline_2008_monthly,2009-01,delta_pmi,
baseline_2008_monthly,2009-01,loans_12m,
baseline_2008_monthly,2009-01,val.pb,
baseline_2008_monthly,2009-01,rate.fr007_mean,
baseline_2008_monthly,2009-01,gro.ip_yoy,
baseline_2008_monthly,2009-01,gro.retail_yoy,
baseline_2008_monthly,2009-01,gro.gdp_yoy,
baseline_2008_monthly,2009-01,inf.cpi_yoy,
baseline_2008_monthly,2009-01,inf.ppi_yoy,
baseline_2008_monthly,2009-01,liq.m2_yoy,
baseline_2008_monthly,2009-02,ey,
baseline_2008_monthly,2009-02,eyg,
baseline_2008_monthly,2009-02,term_spread,
baseline_2008_monthly,2009-02,pmi_gap,
baseline_2008_monthly,2009-02,delta_pmi,
baseline_2008_monthly,2009-02,loans_12m,
baseline_2008_monthly,2009-02,val.pb,
baseline_2008_monthly,2009-02,rate.fr007_mean,
baseline_2008_monthly,2009-02,gro.ip_yoy,
baseline_2008_monthly,2009-02,gro.retail_yoy,
baseline_2008_monthly,2009-02,gro.gdp_yoy,
baseline_2008_monthly,2009-02,inf.cpi_yoy,
