decision_month,decision_date,ey,eyg,term_spread,pmi_gap,delta_pmi,loans_12m,val.pb,rate.fr007_mean,gro.ip_yoy,gro.retail_yoy,gro.gdp_yoy,inf.cpi_yoy,inf.ppi_yoy,liq.m2_yoy,mkt.hs300_tri,mkt.hs300_price
2010-07,2010-07-30,6.293266205160478,2.993666205160478,1.0945999999999998,2.1000000000000014,-1.7999999999999972,68540.0,2.43,2.041859,13.7,18.3,11.4,2.9499,6.41,18.5,3029.91,2868.846
2010-08,2010-08-31,6.802721088435375,3.5726210884353744,1.0614000000000003,1.2000000000000028,-0.8999999999999986,70176.0,2.34,1.832714,13.4,17.9,11.4,3.3042,4.84,17.6,3066.71,2903.188
2010-09,2010-09-30,6.802721088435375,3.484421088435375,1.1443999999999996,1.7000000000000028,0.5,71518.0,2.34,2.403391,13.9,18.4,11.4,3.4794,4.32,19.2,3103.23,2935.574
2010-10,2010-10-29,6.242197253433209,2.5600972534332085,1.2999,3.799999999999997,2.0999999999999943,72355.0,2.56,2.002612,13.3,18.8,10.8,3.6056,4.33,19.0,3573.01,3379.983
2010-11,2010-11-30,6.747638326585695,2.7766383265856946,0.9513000000000003,4.700000000000003,0.9000000000000057,75702.0,2.33,2.035568,13.1,18.6,10.8,4.3655,5.04,19.3,3316.14,3136.985
2010-12,2010-12-31,6.6711140760507,2.7912140760507,0.5091000000000001,5.200000000000003,0.5,78443.0,2.31,3.997565,13.3,18.7,10.8,5.1192,6.06,19.5,3306.94,3128.261
2011-01,2011-01-31,6.65335994677312,2.6346599467731204,0.7559,3.8999999999999986,-1.3000000000000043,79450.0,2.35,4.852510,13.5,19.1,10.6,4.5859,5.93,19.7,3252.23,3076.508
2011-02,2011-02-28,6.472491909385114,2.5410919093851136,0.6821000000000002,2.8999999999999986,-1.0,75779.0,2.41,3.734575,13.5,19.9,10.6,4.9121,6.6436,17.2,3424.69,3239.559
2011-03,2011-03-31,6.657789613848203,2.7457896138482027,0.7323999999999997,2.200000000000003,-0.6999999999999957,74157.0,2.38,2.392291,14.9,11.6,10.6,4.9443,7.2322,15.7,3407.97,3223.288
2011-04,2011-04-29,7.062146892655367,3.1908468926553666,0.7733000000000003,3.3999999999999986,1.1999999999999957,75844.0,2.28,2.829280,14.8,17.4,10.1,5.383,7.3081,16.6,3376.42,3192.723
2011-05,2011-05-31,7.490636704119851,3.6595367041198505,0.6486000000000001,2.8999999999999986,-0.5,75534.0,2.15,3.686152,13.4,17.1,10.1,5.3442,6.821,15.3,3178.19,3001.556
2011-06,2011-06-30,7.4460163812360385,3.5603163812360386,0.4137999999999997,2.0,-0.8999999999999986,74557.0,2.23,5.899557,13.3,16.9,10.1,5.5146,6.7851,15.1,3249.17,3044.089
2011-07,2011-07-29,7.587253414264037,3.539553414264037,0.3234999999999997,0.8999999999999986,-1.1000000000000014,74869.0,2.19,5.256238,15.1,17.7,10.0,6.3553,7.1209,15.9,3179.51,2972.079
2011-08,2011-08-31,8.340283569641368,4.235283569641368,0.21270000000000033,0.7000000000000028,-0.19999999999999574,74458.0,2.01,3.951335,14.0,17.2,10.0,6.4508,7.5417,14.7,3046.65,2846.776
2011-09,2011-09-30,8.98472596585804,5.12422596585804,0.18900000000000006,0.8999999999999986,0.19999999999999574,74496.0,1.88,4.110838,13.5,17.0,10.0,6.1514,7.2528,13.5,2763.53,2581.351
2011-10,2011-10-31,8.9126559714795,5.1519559714795005,0.3405,1.2000000000000028,0.30000000000000426,73185.0,1.9,3.940300,13.8,17.7,9.8,6.0671,6.5227,13.04,2885.58,2695.307
2011-11,2011-11-30,9.398496240601503,5.789396240601503,0.6238000000000001,0.3999999999999986,-0.8000000000000043,73176.0,1.8,3.753636,13.2,17.2,9.8,5.4954,5.0038,12.9,2699.74,2521.52
2011-12,2011-12-30,9.746588693957115,6.316288693957115,0.6149999999999998,-1.0,-1.3999999999999986,73116.0,1.73,3.778191,12.4,17.3,9.8,4.2246,2.7179,12.7,2511.63,2345.742
2012-01,2012-01-31,9.242144177449168,5.835744177449168,0.5658000000000003,0.29999999999999716,1.2999999999999972,74715.0,1.83,4.871541,12.8,18.1,9.5,4.0704,1.6854,13.6,2638.53,2464.26
2012-02,2012-02-29,8.81057268722467,5.276572687224671,0.5185999999999997,0.5,0.20000000000000284,71833.0,1.91,4.147219,12.8,18.1,9.5,4.5485,0.7347,12.4,2820.43,2634.143
2012-03,2012-03-30,9.319664492078285,5.814264492078285,0.6467,1.0,0.5,73563.0,1.73,3.134891,21.3,18.1,9.5,3.1613,0.0284,13.0,2628.72,2454.899
2012-04,2012-04-27,8.904719501335707,5.365819501335707,0.6339000000000001,3.1000000000000014,2.1000000000000014,76883.42,1.78,3.839367,11.9,15.2,8.1,3.5856,-0.3171,13.4,2813.18,2626.157
2012-05,2012-05-31,9.22509225092251,5.880792250922509,0.9312,3.299999999999997,0.19999999999999574,76271.21,1.72,2.964623,9.3,14.1,8.1,3.3653,-0.6984,12.8,2827.63,2632.042
2012-06,2012-06-29,9.803921568627452,6.478621568627451,0.9743999999999997,0.3999999999999986,-2.8999999999999986,78687.53,1.67,3.120930,9.6,13.8,8.1,3.0008,-1.3981,13.2,2670.81,2461.612
2012-07,2012-07-31,10.090817356205852,6.799317356205852,0.9206000000000003,0.20000000000000284,-0.19999999999999574,81546.7,1.62,3.485564,9.5,13.7,7.9,2.1504,-2.0843,13.6,2542.33,2332.922
