decision_month,decision_date,ey,eyg,term_spread,pmi_gap,delta_pmi,m1_m2_gap,afre_yoy,loans_12m,fr007_p90,fr007_vol,mkt.hs300_tri,mkt.hs300_price
2021-02,2021-02-26,6.30119722747322,3.02139722747322,0.4934999999999996,1.2999999999999972,-0.6000000000000014,5.299999999999999,13.0,203567.0,2.504,0.26225414425032556,6953.88,5336.761
2021-03,2021-03-31,6.844626967830253,3.6559269678302533,0.4249999999999998,0.6000000000000014,-0.6999999999999957,-2.6999999999999993,13.3,209778.0,2.4,0.15612341525381077,6578.3,5048.361
2021-04,2021-04-30,7.396449704142012,4.232449704142011,0.5076,1.8999999999999986,1.2999999999999972,-2.3000000000000007,12.3,206899.0,2.3,0.1315231417590905,6682.75,5123.489
2021-05,2021-05-31,7.097232079488999,4.052232079488999,0.3872,1.1000000000000014,-0.7999999999999972,-1.8999999999999995,11.7,203500.0,2.4,0.1972188544478129,6961.77,5331.57
2021-06,2021-06-30,6.983240223463687,3.905440223463687,0.4169999999999998,1.0,-0.10000000000000142,-2.200000000000001,11.0,202292.0,2.66,0.29354009030973544,6859.06,5224.041
2021-07,2021-07-30,7.621951219512195,4.785651219512195,0.3843000000000001,0.8999999999999986,-0.10000000000000142,-3.0999999999999996,11.0,206445.0,2.49,0.17242274918707634,6357.65,4811.17
2021-08,2021-08-31,8.058017727639001,5.213017727639,0.3539000000000003,0.3999999999999986,-0.5,-3.4000000000000004,10.7,204615.0,2.45,0.16743545632461498,6366.06,4805.61
2021-09,2021-09-30,7.930214115781126,5.052614115781126,0.3864000000000001,0.10000000000000142,-0.29999999999999716,-3.999999999999999,10.3,203127.0,2.3680000000000003,0.23369254309234966,6447.75,4866.383
2021-10,2021-10-29,7.892659826361484,4.919459826361484,0.38739999999999997,-0.3999999999999986,-0.5,-4.6000000000000005,10.0,201711.0,2.47,0.16295541387681695,6509.03,4908.77
2021-11,2021-11-30,8.16326530612245,5.338265306122449,0.32220000000000004,-0.7999999999999972,-0.3999999999999986,-5.8999999999999995,10.0,202800.0,2.5,0.13759965998712145,6407.89,4832.026
2021-12,2021-12-31,7.479431563201197,4.704031563201196,0.4032,0.10000000000000142,0.8999999999999986,-5.5,10.1,200512.0,2.8000000000000003,0.28751677050244934,6551.59,4940.373
