cn_year,jp_year,lag,s,n_mod
2002,1982,20,0.225448102671687,4
2002,1983,19,0.3782593437352444,4
2002,1984,18,0.5227599742834135,4
2002,1985,17,0.36009150413547986,4
2002,1986,16,0.22848933718284187,4
2002,1987,15,0.30510997943083573,4
2002,1988,14,0.2713373525448607,4
2002,1989,13,0.3370226667122687,4
2002,1990,12,0.18881071262672972,4
2002,1991,11,0.15842519252668621,4
2002,1992,10,0.09983082081406414,4
2003,1970,33,0.0707976043725333,3
2003,1971,32,-0.1328062836238233,4
2003,1972,31,-0.4811421201998347,4
2003,1973,30,-0.6947865486530711,4
2003,1974,29,-1.4973283645704871,4
2003,1975,28,-0.4607303364249479,4
2003,1976,27,-0.05538920286257973,4
2003,1977,26,0.0014355046109566227,4
2003,1978,25,0.11517239564123005,4
2003,1979,24,0.2838185630558099,4
2003,1980,23,0.2835470373907534,4
2003,1981,22,0.3623485192580264,4
2003,1982,21,0.3313634993360494,4
2003,1983,20,0.48654261637548835,4
2003,1984,19,0.6566444230891677,4
2003,1985,18,0.47566948141416276,4
2003,1986,17,0.3043379098145679,4
2003,1987,16,0.487434916973012,4
2003,1988,15,0.44877742825955697,4
2003,1989,14,0.47278097165297484,4
2003,1990,13,0.32813960659497,4
2003,1991,12,0.15362878510966158,4
2003,1992,11,0.06532747088891255,4
2003,1993,10,0.06550333846699036,4
2004,1970,34,-0.005809995721098304,3
2004,1971,33,0.04077865114455087,4
2004,1972,32,-0.3139344618002604,4
2004,1973,31,-0.5275788902534968,4
2004,1974,30,-1.3572410753754358,4
2004,1975,29,-0.29077169606236175,4
2004,1976,28,0.11170696502482477,4
2004,1977,27,0.1562435693524469,4
2004,1978,26,0.27864138440241437,4
2004,1979,25,0.4574034978241841,4
2004,1980,24,0.4236343265858047,4
2004,1981,23,0.5287419236082411,4
2004,1982,22,0.3595532331300695,4
2004,1983,21,0.3955981256534148,4
2004,1984,20,0.5946078514751756,4
2004,1985,19,0.36570196193736304,4
2004,1986,18,-0.00528806529616388,4
2004,1987,17,0.12569338980936706,4
2004,1988,16,0.2071889919362493,4
2004,1989,15,0.4833671325829699,4
2004,1990,14,0.4467865486790864,4
2004,1991,13,0.5402232344457516,4
2004,1992,12,0.2356757964684873,4
2004,1993,11,0.13856276896368663,4
2004,1994,10,0.2915974440647121,4
2005,1970,35,0.12588792719638733,3
2005,1971,34,-0.057764485665144916,4
2005,1972,33,-0.30162500992368113,4
2005,1973,32,-0.5152694383769176,4
2005,1974,31,-1.6475417198170623,4
2005,1975,30,-0.31672590239858167,4
2005,1976,29,-0.002263986998232742,4
2005,1977,28,0.1640508017150552,4
2005,1978,27,0.3063186569428422,4
2005,1979,26,0.47496482435742216,4
2005,1980,25,0.1333336821441778,4
2005,1981,24,0.5063529532843927,4
2005,1982,23,0.47536793336241573,4
2005,1983,22,0.6446272151199146,4
2005,1984,21,0.7975104738188743,4
2005,1985,20,0.6119640871323724,4
2005,1986,19,0.38956502633774726,4
2005,1987,18,0.527116195464866,4
2005,1988,17,0.615900846635725,4
2005,1989,16,0.6514286237244378,4
2005,1990,15,0.5159608831658539,4
2005,1991,14,0.39632354248453494,4
2005,1992,13,0.3080222282637859,4
2005,1993,12,0.30819809584186375,4
2005,1994,11,0.54363443029354,4
2005,1995,10,0.5141049164615892,4
2006,1970,36,0.1572511938671757,3
2006,1971,35,-0.11895543899536523,4
2006,1972,34,-0.312431401213767,4
2006,1973,33,-0.5260758296670035,4
2006,1974,32,-1.708732673147283,4
2006,1975,31,-0.39166882358665095,4
2006,1976,30,-0.050086532111503684,4
2006,1977,29,0.0891078805269859,4
2006,1978,28,0.23489298001448233,4
2006,1979,27,0.41124169288990525,4
2006,1980,26,0.07214272881395747,4
2006,1981,25,0.43141003209632334,4
2006,1982,24,0.40042501217434634,4
2006,1983,23,0.5738981513088673,4
2006,1984,22,0.7134130017908775,4
2006,1985,21,0.5278666151043756,4
2006,1986,20,0.33742440735634077,4
2006,1987,19,0.49360553039761373,4
2006,1988,18,0.6020426472883799,4
2006,1989,17,0.5764857025363685,4
2006,1990,16,0.44101796197778464,4
2006,1991,15,0.351945709795955,4
2006,1992,14,0.263644395575206,4
2006,1993,13,0.26382026315328383,4
2006,1994,12,0.5109105196690369,4
2006,1995,11,0.5111593398938261,4
2006,1996,10,0.6764457936767562,4
2007,1970,37,0.17353017029546317,3
2007,1971,36,0.11708681552312339,4
2007,1972,35,-0.008303467194983094,4
2007,1973,34,-0.22324720329069092,4
2007,1974,33,-1.4726904186287944,4
2007,1975,32,-0.15202981798177342,4
2007,1976,31,0.19605023473406924,4
2007,1977,30,0.3287468861318634,4
2007,1978,29,0.42284669070854336,4
2007,1979,28,0.5383871379374614,4
2007,1980,27,0.3081849833324461,4
2007,1981,26,0.6710490377012008,4
2007,1982,25,0.3898434311209615,4
2007,1983,24,0.45648990949264084,4
2007,1984,23,0.6448605065419591,4
2007,1985,22,0.4314389587467985,4
2007,1986,21,0.04496458977061968,4
2007,1987,20,0.1825157588977385,4
2007,1988,19,0.3117907403603669,4
2007,1989,18,0.5056563275604697,4
2007,1990,17,0.47395855401617215,4
2007,1991,16,0.4255122633059938,4
2007,1992,15,0.128701324802361,4
2007,1993,14,0.06449430807578237,4
2007,1994,13,0.2401576707933818,4
2007,1995,12,0.210628156961431,4
2007,1996,11,0.37018851128092334,4
2007,1997,10,0.43781550824177096,4
2008,1970,38,0.053911692765854745,3
2008,1971,37,0.3113413047216863,4
2008,1972,36,-0.04031961341812054,4
2008,1973,35,-0.1486169837489127,4
2008,1974,34,-1.2453647628193192,4
2008,1975,33,0.19933066653620496,4
2008,1976,32,0.3131329502221506,4
2008,1977,31,0.5907837666592406,4
2008,1978,30,0.42726007475017147,4
2008,1979,29,0.5934277040464394,4
2008,1980,28,0.5291867213822683,4
2008,1981,27,0.8006293634085376,4
2008,1982,26,0.4749795227275063,4
2008,1983,25,0.45693692690370435,4
2008,1984,24,0.5831956645435266,4
2008,1985,23,0.46299677950585916,4
2008,1986,22,0.11013822430127299,4
2008,1987,21,0.1754780561692445,4
2008,1988,20,0.26185852012360666,4
2008,1989,19,0.580661950151466,4
2008,1990,18,0.5764987263563253,4
2008,1991,17,0.5148296290371188,4
2008,1992,16,0.19601844428845874,4
2008,1993,15,0.0989054167836581,4
2008,1994,14,0.21949447652518303,4
2008,1995,13,0.22241057805273284,4
2008,1996,12,0.3448705245440329,4
2008,1997,11,0.41162252538571764,4
2008,1998,10,0.10743694170671927,4
2009,1970,39,-0.008276760657439356,3
2009,1971,38,-0.33170976140444286,4
2009,1972,37,-0.37140117160851915,4
2009,1973,36,-0.7275392884156598,4
2009,1974,35,-1.9941790572918796,4
2009,1975,34,-0.31224710082986024,4
2009,1976,33,-0.42301129842242496,4
2009,1977,32,-0.22926939956852077,4
2009,1978,31,0.18969711977042575,4
2009,1979,30,0.0741566725415077,4
2009,1980,29,-0.5128869715060855,4
2009,1981,28,-0.12452027054745879,4
2009,1982,27,0.09457868207964698,4
2009,1983,26,0.09641694544864435,4
2009,1984,25,-0.0748231442158079,4
2009,1985,24,0.07399022950783585,4
2009,1986,23,0.4214751032428907,4
2009,1987,22,0.41046001659130227,4
2009,1988,21,0.3007530701186021,4
2009,1989,20,0.08667756370664548,4
2009,1990,19,0.13858525646279696,4
2009,1991,18,-0.09711660967478858,4
2009,1992,17,-0.1775984415440442,4
2009,1993,16,-0.016533029720677023,4
2009,1994,15,0.0020804942079380995,4
2009,1995,14,0.0728826377365012,4
2009,1996,13,0.02444758142683695,4
2009,1997,12,-0.2149521862786511,4
2009,1998,11,-0.07244073191138437,4
2009,1999,10,0.17292095664366522,4
2010,1970,40,0.23136849278446067,3
2010,1971,39,0.1519475478265266,4
2010,1972,38,-0.23579389473983067,4
2010,1973,37,-0.3690540022730002,4
2010,1974,36,-1.2580344794463718,4
2010,1975,35,-0.2539526385557017,4
2010,1976,34,0.0751526846468704,4
2010,1977,33,0.14157208020670103,4
2010,1978,32,0.24079595370408524,4
2010,1979,31,0.46777184864685817,4
2010,1980,30,0.40909456691144297,4
2010,1981,29,0.5031915512451308,4
2010,1982,28,0.4324630265429893,4
2010,1983,27,0.3824167321740484,4
2010,1984,26,0.6321895496518622,4
2010,1985,25,0.4522040867131079,4
2010,1986,24,0.07033517626221653,4
2010,1987,23,0.1859535058202882,4
2010,1988,22,0.2766431389704269,4
2010,1989,21,0.5698692573587147,4
2010,1990,20,0.5239845199610236,4
2010,1991,19,0.31611159222966373,4
2010,1992,18,0.06202793114322172,4
2010,1993,17,-0.035085096361578916,4
2010,1994,16,0.1110812750195175,4
2010,1995,15,0.0884200649074958,4
