quarter,value,variable,country,unit,source_note
2013-Q2,19384.78,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2013-Q3,20651.72,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2013-Q4,27400.15,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2014-Q1,13262.96,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2014-Q2,17869.85,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2014-Q3,18094.2,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2014-Q4,27065.4,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2015-Q1,12023.08,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2015-Q2,22236.13,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2015-Q3,22485.79,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2015-Q4,30535.84,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2016-Q1,18524.27,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2016-Q2,30158.08,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2016-Q3,31525.81,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2016-Q4,37418.84,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2017-Q1,23182.25,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2017-Q2,35969.58,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2017-Q3,32751.7,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2017-Q4,41797.78,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2018-Q1,25597.18,property_sales_value,CN,亿元,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
