quarter,value,variable,country,unit,source_note
1989-Q4,2.9754,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1990-Q1,3.1965,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1990-Q2,2.0684,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1990-Q3,2.2756,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1990-Q4,3.0988,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1991-Q1,3.1812,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1991-Q2,3.019,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1991-Q3,2.9666,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1991-Q4,2.3152,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1992-Q1,2.2312,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1992-Q2,2.5692,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1992-Q3,2.2409,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1992-Q4,2.0643,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1993-Q1,1.6667,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1993-Q2,1.2916,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1993-Q3,1.2133,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1993-Q4,0.9335,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1994-Q1,0.9368,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1994-Q2,0.9274,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1994-Q3,0.6961,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1994-Q4,0.4624,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1995-Q1,0.3867,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1995-Q2,-0.1531,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1995-Q3,-0.1152,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1995-Q4,0.1151,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1996-Q1,-0.077,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1996-Q2,0.0767,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1996-Q3,0.2307,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1996-Q4,0.2682,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1997-Q1,0.5012,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1997-Q2,2.069,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1997-Q3,2.1481,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
