quarter,value,variable,country,unit,source_note
2021-Q2,12.6,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2021-Q3,7.3,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2021-Q4,4.9,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2022-Q1,9.3,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2022-Q2,6.1,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2022-Q3,5.9,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2022-Q4,5.1,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2023-Q1,5.1,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2023-Q2,3.8,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2023-Q3,3.1,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2023-Q4,3.0,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2024-Q1,4.5,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2024-Q2,3.9,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2024-Q3,3.4,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2024-Q4,3.2,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2025-Q1,4.2,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2025-Q2,2.8,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2025-Q3,-0.5,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2025-Q4,-3.8,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2026-Q1,1.7,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
2026-Q2,-5.7,cn_fai_yoy_q,CN,pct_yoy,"NBS 固定资产投资(不含农户) 累计同比 季度末月值(3/6/9/12月, 该季累计同比状态); B4 I_q CN 代理 PROXY_NFC_INVESTMENT"
