quarter,value,country,variable
2016-Q2,40.8,CN,hh_credit_gdp
2016-Q3,42.3,CN,hh_credit_gdp
2016-Q4,43.4,CN,hh_credit_gdp
2017-Q1,44.5,CN,hh_credit_gdp
2017-Q2,45.8,CN,hh_credit_gdp
2017-Q3,46.9,CN,hh_credit_gdp
2017-Q4,47.3,CN,hh_credit_gdp
2018-Q1,48.0,CN,hh_credit_gdp
2018-Q2,48.9,CN,hh_credit_gdp
2018-Q3,50.0,CN,hh_credit_gdp
2018-Q4,50.6,CN,hh_credit_gdp
2019-Q1,51.5,CN,hh_credit_gdp
2019-Q2,52.6,CN,hh_credit_gdp
2019-Q3,53.6,CN,hh_credit_gdp
2019-Q4,54.4,CN,hh_credit_gdp
2020-Q1,56.3,CN,hh_credit_gdp
2020-Q2,58.2,CN,hh_credit_gdp
2020-Q3,60.0,CN,hh_credit_gdp
2020-Q4,60.6,CN,hh_credit_gdp
2021-Q1,60.1,CN,hh_credit_gdp
2021-Q2,60.0,CN,hh_credit_gdp
2021-Q3,60.1,CN,hh_credit_gdp
2021-Q4,60.0,CN,hh_credit_gdp
2022-Q1,59.9,CN,hh_credit_gdp
2022-Q2,60.1,CN,hh_credit_gdp
2022-Q3,60.3,CN,hh_credit_gdp
2022-Q4,60.1,CN,hh_credit_gdp
2023-Q1,60.7,CN,hh_credit_gdp
2023-Q2,60.7,CN,hh_credit_gdp
2023-Q3,60.8,CN,hh_credit_gdp
2023-Q4,60.5,CN,hh_credit_gdp
2024-Q1,61.0,CN,hh_credit_gdp
2024-Q2,60.5,CN,hh_credit_gdp
2024-Q3,60.2,CN,hh_credit_gdp
2024-Q4,60.0,CN,hh_credit_gdp
2025-Q1,60.2,CN,hh_credit_gdp
2025-Q2,59.7,CN,hh_credit_gdp
2025-Q3,59.0,CN,hh_credit_gdp
2025-Q4,58.0,CN,hh_credit_gdp
1964-Q4,20.1,JP,hh_credit_gdp
1965-Q1,20.1,JP,hh_credit_gdp
1965-Q2,19.9,JP,hh_credit_gdp
1965-Q3,20.6,JP,hh_credit_gdp
1965-Q4,21.6,JP,hh_credit_gdp
1966-Q1,21.7,JP,hh_credit_gdp
1966-Q2,21.8,JP,hh_credit_gdp
1966-Q3,22.5,JP,hh_credit_gdp
1966-Q4,22.8,JP,hh_credit_gdp
1967-Q1,22.8,JP,hh_credit_gdp
1967-Q2,23.0,JP,hh_credit_gdp
1967-Q3,23.1,JP,hh_credit_gdp
1967-Q4,23.8,JP,hh_credit_gdp
1968-Q1,23.6,JP,hh_credit_gdp
1968-Q2,23.5,JP,hh_credit_gdp
1968-Q3,24.0,JP,hh_credit_gdp
1968-Q4,24.4,JP,hh_credit_gdp
1969-Q1,24.2,JP,hh_credit_gdp
1969-Q2,24.5,JP,hh_credit_gdp
1969-Q3,24.8,JP,hh_credit_gdp
1969-Q4,25.6,JP,hh_credit_gdp
1970-Q1,25.3,JP,hh_credit_gdp
1970-Q2,25.2,JP,hh_credit_gdp
1970-Q3,25.5,JP,hh_credit_gdp
1970-Q4,26.2,JP,hh_credit_gdp
1971-Q1,26.4,JP,hh_credit_gdp
1971-Q2,26.9,JP,hh_credit_gdp
1971-Q3,27.6,JP,hh_credit_gdp
1971-Q4,29.1,JP,hh_credit_gdp
1972-Q1,29.1,JP,hh_credit_gdp
1972-Q2,29.5,JP,hh_credit_gdp
1972-Q3,30.5,JP,hh_credit_gdp
1972-Q4,32.0,JP,hh_credit_gdp
1973-Q1,32.5,JP,hh_credit_gdp
1973-Q2,32.7,JP,hh_credit_gdp
1973-Q3,33.5,JP,hh_credit_gdp
1973-Q4,34.6,JP,hh_credit_gdp
1974-Q1,34.4,JP,hh_credit_gdp
1974-Q2,34.2,JP,hh_credit_gdp
1974-Q3,33.9,JP,hh_credit_gdp
1974-Q4,34.3,JP,hh_credit_gdp
1975-Q1,33.9,JP,hh_credit_gdp
1975-Q2,34.1,JP,hh_credit_gdp
1975-Q3,34.8,JP,hh_credit_gdp
1975-Q4,36.1,JP,hh_credit_gdp
1976-Q1,36.3,JP,hh_credit_gdp
1976-Q2,36.5,JP,hh_credit_gdp
1976-Q3,36.9,JP,hh_credit_gdp
1976-Q4,37.9,JP,hh_credit_gdp
1977-Q1,37.6,JP,hh_credit_gdp
1977-Q2,37.5,JP,hh_credit_gdp
1977-Q3,38.3,JP,hh_credit_gdp
1977-Q4,38.8,JP,hh_credit_gdp
1978-Q1,38.7,JP,hh_credit_gdp
1978-Q2,38.8,JP,hh_credit_gdp
1978-Q3,40.2,JP,hh_credit_gdp
1978-Q4,41.2,JP,hh_credit_gdp
1979-Q1,41.3,JP,hh_credit_gdp
1979-Q2,41.7,JP,hh_credit_gdp
1979-Q3,42.6,JP,hh_credit_gdp
1979-Q4,44.1,JP,hh_credit_gdp
1980-Q1,44.4,JP,hh_credit_gdp
1980-Q2,44.6,JP,hh_credit_gdp
1980-Q3,45.0,JP,hh_credit_gdp
1980-Q4,45.7,JP,hh_credit_gdp
1981-Q1,45.5,JP,hh_credit_gdp
1981-Q2,45.2,JP,hh_credit_gdp
1981-Q3,45.9,JP,hh_credit_gdp
1981-Q4,46.9,JP,hh_credit_gdp
1982-Q1,47.0,JP,hh_credit_gdp
1982-Q2,46.8,JP,hh_credit_gdp
1982-Q3,47.6,JP,hh_credit_gdp
1982-Q4,48.6,JP,hh_credit_gdp
1983-Q1,49.5,JP,hh_credit_gdp
1983-Q2,49.7,JP,hh_credit_gdp
1983-Q3,50.5,JP,hh_credit_gdp
1983-Q4,51.4,JP,hh_credit_gdp
1984-Q1,51.6,JP,hh_credit_gdp
1984-Q2,51.3,JP,hh_credit_gdp
1984-Q3,51.8,JP,hh_credit_gdp
1984-Q4,52.4,JP,hh_credit_gdp
1985-Q1,52.1,JP,hh_credit_gdp
1985-Q2,51.5,JP,hh_credit_gdp
1985-Q3,51.8,JP,hh_credit_gdp
1985-Q4,52.1,JP,hh_credit_gdp
1986-Q1,52.5,JP,hh_credit_gdp
1986-Q2,52.2,JP,hh_credit_gdp
1986-Q3,53.2,JP,hh_credit_gdp
1986-Q4,53.6,JP,hh_credit_gdp
1987-Q1,55.0,JP,hh_credit_gdp
1987-Q2,55.5,JP,hh_credit_gdp
1987-Q3,57.7,JP,hh_credit_gdp
1987-Q4,59.6,JP,hh_credit_gdp
1988-Q1,59.4,JP,hh_credit_gdp
1988-Q2,59.8,JP,hh_credit_gdp
1988-Q3,61.0,JP,hh_credit_gdp
1988-Q4,61.9,JP,hh_credit_gdp
1989-Q1,63.0,JP,hh_credit_gdp
1989-Q2,63.0,JP,hh_credit_gdp
1989-Q3,64.9,JP,hh_credit_gdp
1989-Q4,66.5,JP,hh_credit_gdp
1990-Q1,68.3,JP,hh_credit_gdp
1990-Q2,67.9,JP,hh_credit_gdp
1990-Q3,68.4,JP,hh_credit_gdp
1990-Q4,68.4,JP,hh_credit_gdp
1991-Q1,67.6,JP,hh_credit_gdp
1991-Q2,67.4,JP,hh_credit_gdp
1991-Q3,67.0,JP,hh_credit_gdp
1991-Q4,67.4,JP,hh_credit_gdp
1992-Q1,66.9,JP,hh_credit_gdp
1992-Q2,66.7,JP,hh_credit_gdp
1992-Q3,66.5,JP,hh_credit_gdp
1992-Q4,67.4,JP,hh_credit_gdp
1993-Q1,67.5,JP,hh_credit_gdp
1993-Q2,67.3,JP,hh_credit_gdp
1993-Q3,68.2,JP,hh_credit_gdp
1993-Q4,68.7,JP,hh_credit_gdp
1994-Q1,68.5,JP,hh_credit_gdp
1994-Q2,68.1,JP,hh_credit_gdp
1994-Q3,68.2,JP,hh_credit_gdp
1994-Q4,68.1,JP,hh_credit_gdp
1995-Q1,68.3,JP,hh_credit_gdp
1995-Q2,68.1,JP,hh_credit_gdp
1995-Q3,68.5,JP,hh_credit_gdp
1995-Q4,69.0,JP,hh_credit_gdp
1996-Q1,68.5,JP,hh_credit_gdp
1996-Q2,68.2,JP,hh_credit_gdp
1996-Q3,68.3,JP,hh_credit_gdp
1996-Q4,68.2,JP,hh_credit_gdp
1997-Q1,67.6,JP,hh_credit_gdp
1997-Q2,67.5,JP,hh_credit_gdp
1997-Q3,67.7,JP,hh_credit_gdp
1997-Q4,68.0,JP,hh_credit_gdp
1998-Q1,67.4,JP,hh_credit_gdp
1998-Q2,68.2,JP,hh_credit_gdp
1998-Q3,68.3,JP,hh_credit_gdp
1998-Q4,68.9,JP,hh_credit_gdp
1999-Q1,68.7,JP,hh_credit_gdp
1999-Q2,68.9,JP,hh_credit_gdp
1999-Q3,69.4,JP,hh_credit_gdp
1999-Q4,70.2,JP,hh_credit_gdp
2000-Q1,70.2,JP,hh_credit_gdp
2000-Q2,69.3,JP,hh_credit_gdp
2000-Q3,69.3,JP,hh_credit_gdp
2000-Q4,68.8,JP,hh_credit_gdp
2001-Q1,67.6,JP,hh_credit_gdp
2001-Q2,67.2,JP,hh_credit_gdp
2001-Q3,67.5,JP,hh_credit_gdp
2001-Q4,67.5,JP,hh_credit_gdp
2002-Q1,67.4,JP,hh_credit_gdp
2002-Q2,67.1,JP,hh_credit_gdp
2002-Q3,66.7,JP,hh_credit_gdp
2002-Q4,66.4,JP,hh_credit_gdp
2003-Q1,66.3,JP,hh_credit_gdp
2003-Q2,65.8,JP,hh_credit_gdp
2003-Q3,65.9,JP,hh_credit_gdp
2003-Q4,65.7,JP,hh_credit_gdp
2004-Q1,65.3,JP,hh_credit_gdp
2004-Q2,64.7,JP,hh_credit_gdp
2004-Q3,64.4,JP,hh_credit_gdp
2004-Q4,64.1,JP,hh_credit_gdp
2005-Q1,61.4,JP,hh_credit_gdp
2005-Q2,61.1,JP,hh_credit_gdp
2005-Q3,61.0,JP,hh_credit_gdp
2005-Q4,61.5,JP,hh_credit_gdp
2006-Q1,61.3,JP,hh_credit_gdp
2006-Q2,61.1,JP,hh_credit_gdp
2006-Q3,60.9,JP,hh_credit_gdp
2006-Q4,60.5,JP,hh_credit_gdp
2007-Q1,60.3,JP,hh_credit_gdp
2007-Q2,60.1,JP,hh_credit_gdp
2007-Q3,59.6,JP,hh_credit_gdp
2007-Q4,59.5,JP,hh_credit_gdp
2008-Q1,59.2,JP,hh_credit_gdp
2008-Q2,59.2,JP,hh_credit_gdp
2008-Q3,59.3,JP,hh_credit_gdp
2008-Q4,59.6,JP,hh_credit_gdp
2009-Q1,60.6,JP,hh_credit_gdp
2009-Q2,61.5,JP,hh_credit_gdp
2009-Q3,62.4,JP,hh_credit_gdp
2009-Q4,62.9,JP,hh_credit_gdp
2010-Q1,62.6,JP,hh_credit_gdp
2010-Q2,62.1,JP,hh_credit_gdp
2010-Q3,61.2,JP,hh_credit_gdp
2010-Q4,60.7,JP,hh_credit_gdp
2011-Q1,60.6,JP,hh_credit_gdp
2011-Q2,61.0,JP,hh_credit_gdp
2011-Q3,61.1,JP,hh_credit_gdp
2011-Q4,61.4,JP,hh_credit_gdp
2012-Q1,60.9,JP,hh_credit_gdp
2012-Q2,60.6,JP,hh_credit_gdp
2012-Q3,60.5,JP,hh_credit_gdp
2012-Q4,60.8,JP,hh_credit_gdp
2013-Q1,61.1,JP,hh_credit_gdp
2013-Q2,61.1,JP,hh_credit_gdp
2013-Q3,60.7,JP,hh_credit_gdp
2013-Q4,60.6,JP,hh_credit_gdp
2014-Q1,60.4,JP,hh_credit_gdp
2014-Q2,60.0,JP,hh_credit_gdp
2014-Q3,59.7,JP,hh_credit_gdp
2014-Q4,59.7,JP,hh_credit_gdp
2015-Q1,59.3,JP,hh_credit_gdp
2015-Q2,59.0,JP,hh_credit_gdp
2015-Q3,58.5,JP,hh_credit_gdp
2015-Q4,58.3,JP,hh_credit_gdp
2016-Q1,58.1,JP,hh_credit_gdp
2016-Q2,58.2,JP,hh_credit_gdp
2016-Q3,58.3,JP,hh_credit_gdp
2016-Q4,58.5,JP,hh_credit_gdp
2017-Q1,58.8,JP,hh_credit_gdp
2017-Q2,58.9,JP,hh_credit_gdp
2017-Q3,58.8,JP,hh_credit_gdp
2017-Q4,58.9,JP,hh_credit_gdp
2018-Q1,59.1,JP,hh_credit_gdp
2018-Q2,59.0,JP,hh_credit_gdp
2018-Q3,59.3,JP,hh_credit_gdp
2018-Q4,59.9,JP,hh_credit_gdp
2019-Q1,60.0,JP,hh_credit_gdp
2019-Q2,60.2,JP,hh_credit_gdp
2019-Q3,60.3,JP,hh_credit_gdp
2019-Q4,60.8,JP,hh_credit_gdp
2020-Q1,61.2,JP,hh_credit_gdp
2020-Q2,63.0,JP,hh_credit_gdp
2020-Q3,64.4,JP,hh_credit_gdp
2020-Q4,65.4,JP,hh_credit_gdp
2021-Q1,65.9,JP,hh_credit_gdp
2021-Q2,65.1,JP,hh_credit_gdp
2021-Q3,64.8,JP,hh_credit_gdp
2021-Q4,64.8,JP,hh_credit_gdp
2022-Q1,64.5,JP,hh_credit_gdp
2022-Q2,64.6,JP,hh_credit_gdp
2022-Q3,64.6,JP,hh_credit_gdp
2022-Q4,64.7,JP,hh_credit_gdp
2023-Q1,64.1,JP,hh_credit_gdp
2023-Q2,63.5,JP,hh_credit_gdp
2023-Q3,62.8,JP,hh_credit_gdp
2023-Q4,62.4,JP,hh_credit_gdp
2024-Q1,62.4,JP,hh_credit_gdp
2024-Q2,62.6,JP,hh_credit_gdp
2024-Q3,62.1,JP,hh_credit_gdp
2024-Q4,62.1,JP,hh_credit_gdp
2025-Q1,61.8,JP,hh_credit_gdp
2025-Q2,61.3,JP,hh_credit_gdp
2025-Q3,61.1,JP,hh_credit_gdp
2025-Q4,61.1,JP,hh_credit_gdp
