year,value,source_note
2014,45.31,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2015,42.73,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2016,42.14,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2017,42.55,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2018,43.31,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2019,42.67,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2020,42.57,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2021,42.68,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2022,42.36,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2023,41.13,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
2024,40.48,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
