quarter,value,source_note
1991-Q2,182.5495,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1991-Q3,182.3078,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1991-Q4,180.2885,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1992-Q1,178.2693,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1992-Q2,176.0578,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1992-Q3,173.8462,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1992-Q4,171.6347,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1993-Q1,169.4231,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1993-Q2,167.9888,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1993-Q3,166.5385,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1993-Q4,165.4808,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1994-Q1,164.4231,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1994-Q2,163.7538,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1994-Q3,163.077,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1994-Q4,162.5001,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1995-Q1,161.9231,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1995-Q2,161.3016,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1995-Q3,160.6731,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1995-Q4,159.8558,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1996-Q1,159.0385,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1996-Q2,158.3174,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1996-Q3,157.5962,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1996-Q4,157.1154,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1997-Q1,156.6347,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1997-Q2,156.2044,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1997-Q3,155.7693,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1997-Q4,155.1924,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1998-Q1,154.6154,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1998-Q2,153.8505,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1998-Q3,153.077,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1998-Q4,151.7789,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1999-Q1,150.4808,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1999-Q2,149.2377,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1999-Q3,147.9808,H6-B frozen h6b_q_residential_property_price.csv; country=jp
1999-Q4,146.5385,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2000-Q1,145.0962,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2000-Q2,143.6539,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2000-Q3,142.2116,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2000-Q4,140.6731,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2001-Q1,139.1347,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2001-Q2,137.5091,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2001-Q3,135.8654,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2001-Q4,134.0385,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2002-Q1,132.2116,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2002-Q2,130.3948,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2002-Q3,128.5577,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2002-Q4,126.4904,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2003-Q1,124.4231,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2003-Q2,122.3672,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2003-Q3,120.2885,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2003-Q4,118.3654,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2004-Q1,116.4424,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2004-Q2,114.7116,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2004-Q3,112.9808,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2004-Q4,111.5866,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2005-Q1,110.1924,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2005-Q2,108.9493,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2005-Q3,107.6924,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2005-Q4,106.827,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2006-Q1,105.9616,H6-B frozen h6b_q_residential_property_price.csv; country=jp
2006-Q2,105.3878,H6-B frozen h6b_q_residential_property_price.csv; country=jp
