quarter,value,source_note
1987-Q2,0.539185,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1987-Q3,0.663313,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1987-Q4,0.532218,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1988-Q1,0.560198,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1988-Q2,0.465169,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1988-Q3,0.612089,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1988-Q4,0.497735,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1989-Q1,0.460067,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1989-Q2,0.530803,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1989-Q3,0.561448,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1989-Q4,0.54982,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1990-Q1,0.687557,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1990-Q2,0.728929,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1990-Q3,0.912743,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1990-Q4,0.956708,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1991-Q1,0.909537,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1991-Q2,0.901389,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1991-Q3,1.153813,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1991-Q4,1.017434,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1992-Q1,1.028373,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1992-Q2,1.115316,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1992-Q3,1.230929,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1992-Q4,1.462722,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1993-Q1,1.004508,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1993-Q2,1.0461,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1993-Q3,1.480166,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1993-Q4,1.343769,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1994-Q1,0.927142,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1994-Q2,0.89165,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1994-Q3,0.948785,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1994-Q4,0.882497,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1995-Q1,0.793874,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1995-Q2,0.804238,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
