variable_id,pit_rule,vintage_quality,vintage_status,n_rows,min_available_date,max_available_date
gro.ip_cum_yoy,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,204,2008-03-20,2026-08-20
gro.ip_yoy,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,192,2008-03-20,2026-08-20
gro.pmi,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,223,2008-02-20,2026-08-20
gro.pmi_composite,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,59,2021-10-20,2026-08-20
gro.pmi_employment,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,104,2018-01-20,2026-08-20
gro.pmi_new_orders,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,104,2018-01-20,2026-08-20
gro.pmi_nonmanufacturing,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,59,2021-10-20,2026-08-20
gro.pmi_production,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,104,2018-01-20,2026-08-20
gro.pmi_raw_material_inventory,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,104,2018-01-20,2026-08-20
gro.pmi_supplier_delivery,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,104,2018-01-20,2026-08-20
gro.retail_sa_mom,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,REVISED_HISTORY,60,2021-09-20,2026-08-20
gro.retail_yoy,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,193,2008-02-20,2026-08-20
hh.consumer_confidence,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,234,2007-02-20,2026-07-20
hh.consumer_satisfaction,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,234,2007-02-20,2026-07-20
hh.deposit,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,138,2015-02-20,2026-07-20
hh.deposit_hist,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,122,1994-04-20,2015-01-20
hh.income_annual,CONSERVATIVE_ANNUAL_60D,LATEST_HISTORY_PROXY,CURRENT,8,2014-03-01,2021-03-01
hh.income_quarterly,CONSERVATIVE_QUARTER_20D,LATEST_HISTORY_PROXY,CURRENT,20,2021-10-20,2026-07-20
inf.cpi_core,CONSERVATIVE_MONTH_20D,REALTIME_VINTAGE,CURRENT,67,2021-02-20,2026-08-20
inf.cpi_yoy,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,223,2008-02-20,2026-08-20
inf.enterprise_goods,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,259,2005-02-20,2026-08-20
inf.ppi_yoy,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,247,2006-02-20,2026-08-20
inf.ppirm,CONSERVATIVE_MONTH_20D,REALTIME_VINTAGE,CURRENT,67,2021-02-20,2026-08-20
liq.afre_stock_yoy_official,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT_OFFICIAL_ARCHIVE,95,2015-04-20,2026-08-20
liq.afre_stock_yoy_official,SOURCE_AVAILABLE_DATE,LATEST_HISTORY_PROXY,RETROSPECTIVE_HISTORICAL_RELEASE,7,2015-02-10,2015-02-10
liq.afre_stock_yoy_official,SOURCE_AVAILABLE_DATE,RETROSPECTIVE_COMPARABLE,RETROSPECTIVE_COMPARABLE,36,2020-01-31,2020-01-31
liq.cbb,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,295,2002-02-20,2026-08-20
liq.fx_loans_change,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,223,2008-02-20,2026-08-20
liq.m0_yoy,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,223,2008-02-20,2026-08-20
liq.m1_new,RETROSPECTIVE_RELEASE,RETROSPECTIVE_COMPARABLE,RETROSPECTIVE_COMPARABLE,12,2025-02-28,2025-02-28
liq.m1_yoy,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,223,2008-02-20,2026-08-20
liq.m2_yoy,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,223,2008-02-20,2026-08-20
liq.money_detail,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,361,1992-01-20,2026-08-20
liq.total_deposits_change,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,223,2008-02-20,2026-08-20
mar.market_balance,CONSERVATIVE_MONTH_20D,REALTIME_VINTAGE,CURRENT,159,2011-01-20,2025-02-20
mar.market_balance,SOURCE_AVAILABLE_DATE,REALTIME_VINTAGE,CURRENT,18,2025-03-03,2026-08-03
mar.stock_turnover,T0_CLOSE,REALTIME_VINTAGE,CURRENT,223,2008-01-31,2026-07-31
mar.sz_monthly,CONSERVATIVE_MONTH_20D,REALTIME_VINTAGE,CURRENT,198,2010-04-20,2026-09-20
mkt.000985,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4533,2008-01-02,2026-08-25
mkt.hs300_510300,T0_CLOSE,REALTIME_VINTAGE,CURRENT,3477,2012-05-04,2026-08-21
mkt.hs300_price,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4531,2008-01-02,2026-08-24
mkt.hs300_tri,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4533,2008-01-02,2026-08-25
mkt.hs300_volume,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4531,2008-01-02,2026-08-24
mkt.sh000001,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4531,2008-01-02,2026-08-24
mkt.sz399001,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4531,2008-01-02,2026-08-24
rate.cn10y,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4660,2008-01-02,2026-08-24
rate.cn2y,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4660,2008-01-02,2026-08-24
rate.cn30y,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4660,2008-01-02,2026-08-24
rate.cn5y,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4660,2008-01-02,2026-08-24
rate.fdr007,T0_CLOSE,REALTIME_VINTAGE,CURRENT,2145,2017-05-31,2025-12-31
rate.fr007,T0_CLOSE,REALTIME_VINTAGE,CURRENT,5154,2006-01-04,2026-08-25
rate.lpr1y,EVENT_ANNOUNCEMENT,REALTIME_VINTAGE,CURRENT,85,2019-08-20,2026-08-20
rate.lpr5y,EVENT_ANNOUNCEMENT,REALTIME_VINTAGE,CURRENT,85,2019-08-20,2026-08-20
rate.policy7d,EVENT_ANNOUNCEMENT,REALTIME_VINTAGE,CURRENT,26,2015-01-22,2026-07-31
rate.rrr,EVENT_ANNOUNCEMENT,REALTIME_VINTAGE,CURRENT,58,2007-01-05,2025-05-07
rate.rrr_events_em,EVENT_ANNOUNCEMENT,REALTIME_VINTAGE,CURRENT,116,2007-01-05,2025-05-07
rate.shibor3m,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4555,2006-10-08,2026-08-25
rate.shibor_on,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4555,2006-10-08,2026-08-25
rate.us10y,FOREIGN_MARKET_T1_ASIA,REALTIME_VINTAGE,CURRENT,4663,2008-01-03,2026-08-22
val.pb,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4531,2008-01-02,2026-08-24
val.pe_median,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4531,2008-01-02,2026-08-24
val.pe_static,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4531,2008-01-02,2026-08-24
val.pe_ttm,T0_CLOSE,REALTIME_VINTAGE,CURRENT,4531,2008-01-02,2026-08-24
