decision_month,feature,value,na_reason,reference_period_used,available_date_used,feature_regime,note
2009-12,m1_m2_gap,4.8900,,,2009-12-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2009-11)
2010-01,ey,4.6296,,,2010-01-29,,100/PE_ttm
2010-01,eyg,1.0496,,,2010-01-29,,100/PE_ttm - cn10y
2010-01,term_spread,1.5004,,,2010-01-29,,cn10y - cn2y
2010-01,pmi_gap,6.6000,,,2010-01-20,,gro.pmi - 50
2010-01,m1_m2_gap,4.6700,,,2010-01-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2009-12)
2010-02,ey,4.5956,,,2010-02-26,,100/PE_ttm
2010-02,eyg,1.2203,,,2010-02-26,,100/PE_ttm - cn10y
2010-02,term_spread,1.3087,,,2010-02-26,,cn10y - cn2y
2010-02,pmi_gap,5.8000,,,2010-02-20,,gro.pmi - 50
2010-02,m1_m2_gap,12.9800,,,2010-02-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2010-01)
2010-03,ey,4.6773,,,2010-03-31,,100/PE_ttm
2010-03,eyg,1.1955,,,2010-03-31,,100/PE_ttm - cn10y
2010-03,term_spread,1.4681,,,2010-03-31,,cn10y - cn2y
2010-03,pmi_gap,2.0000,,,2010-03-20,,gro.pmi - 50
2010-03,m1_m2_gap,9.4700,,,2010-03-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2010-02)
2010-04,ey,5.8343,,,2010-04-30,,100/PE_ttm
2010-04,eyg,2.4778,,,2010-04-30,,100/PE_ttm - cn10y
2010-04,term_spread,1.3903,,,2010-04-30,,cn10y - cn2y
2010-04,pmi_gap,5.1000,,,2010-04-20,,gro.pmi - 50
2010-04,m1_m2_gap,7.4400,,,2010-04-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2010-03)
2010-05,ey,6.4267,,,2010-05-31,,100/PE_ttm
2010-05,eyg,3.1837,,,2010-05-31,,100/PE_ttm - cn10y
2010-05,term_spread,1.1574,,,2010-05-31,,cn10y - cn2y
2010-05,pmi_gap,5.7000,,,2010-05-20,,gro.pmi - 50
2010-05,m1_m2_gap,9.7700,,,2010-05-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2010-04)
2010-06,ey,6.8918,,,2010-06-30,,100/PE_ttm
2010-06,eyg,3.6128,,,2010-06-30,,100/PE_ttm - cn10y
2010-06,term_spread,1.0116,,,2010-06-30,,cn10y - cn2y
2010-06,pmi_gap,3.9000,,,2010-06-20,,gro.pmi - 50
2010-06,m1_m2_gap,8.9000,,,2010-06-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2010-05)
2010-07,ey,6.2933,,,2010-07-30,,100/PE_ttm
2010-07,eyg,2.9937,,,2010-07-30,,100/PE_ttm - cn10y
2010-07,term_spread,1.0946,,,2010-07-30,,cn10y - cn2y
2010-07,pmi_gap,2.1000,,,2010-07-20,,gro.pmi - 50
2010-07,m1_m2_gap,6.1000,,,2010-07-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2010-06)
2010-08,ey,6.8027,,,2010-08-31,,100/PE_ttm
2010-08,eyg,3.5726,,,2010-08-31,,100/PE_ttm - cn10y
2010-08,term_spread,1.0614,,,2010-08-31,,cn10y - cn2y
2010-08,pmi_gap,1.2000,,,2010-08-20,,gro.pmi - 50
2010-08,m1_m2_gap,5.3000,,,2010-08-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2010-07)
2010-09,ey,6.8027,,,2010-09-30,,100/PE_ttm
2010-09,eyg,3.4844,,,2010-09-30,,100/PE_ttm - cn10y
2010-09,term_spread,1.1444,,,2010-09-30,,cn10y - cn2y
2010-09,pmi_gap,1.7000,,,2010-09-20,,gro.pmi - 50
2010-09,m1_m2_gap,2.7000,,,2010-09-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2010-08)
2010-10,ey,6.2422,,,2010-10-29,,100/PE_ttm
2010-10,eyg,2.5601,,,2010-10-29,,100/PE_ttm - cn10y
2010-10,term_spread,1.2999,,,2010-10-29,,cn10y - cn2y
2010-10,pmi_gap,3.8000,,,2010-10-20,,gro.pmi - 50
2010-10,m1_m2_gap,1.9000,,,2010-10-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2010-09)
2010-11,ey,6.7476,,,2010-11-30,,100/PE_ttm
2010-11,eyg,2.7766,,,2010-11-30,,100/PE_ttm - cn10y
2010-11,term_spread,0.9513,,,2010-11-30,,cn10y - cn2y
2010-11,pmi_gap,4.7000,,,2010-11-20,,gro.pmi - 50
2010-11,m1_m2_gap,2.8000,,,2010-11-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2010-10)
2010-12,ey,6.6711,,,2010-12-31,,100/PE_ttm
2010-12,eyg,2.7912,,,2010-12-31,,100/PE_ttm - cn10y
2010-12,term_spread,0.5091,,,2010-12-31,,cn10y - cn2y
2010-12,pmi_gap,5.2000,,,2010-12-20,,gro.pmi - 50
2010-12,m1_m2_gap,2.6000,,,2010-12-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2010-11)
2011-01,ey,6.6534,,,2011-01-31,,100/PE_ttm
2011-01,eyg,2.6347,,,2011-01-31,,100/PE_ttm - cn10y
2011-01,term_spread,0.7559,,,2011-01-31,,cn10y - cn2y
2011-01,pmi_gap,3.9000,,,2011-01-20,,gro.pmi - 50
2011-01,m1_m2_gap,1.5000,,,2011-01-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2010-12)
2011-02,ey,6.4725,,,2011-02-28,,100/PE_ttm
2011-02,eyg,2.5411,,,2011-02-28,,100/PE_ttm - cn10y
2011-02,term_spread,0.6821,,,2011-02-28,,cn10y - cn2y
2011-02,pmi_gap,2.9000,,,2011-02-20,,gro.pmi - 50
2011-02,m1_m2_gap,-3.6000,,,2011-02-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2011-01)
2011-03,ey,6.6578,,,2011-03-31,,100/PE_ttm
2011-03,eyg,2.7458,,,2011-03-31,,100/PE_ttm - cn10y
2011-03,term_spread,0.7324,,,2011-03-31,,cn10y - cn2y
2011-03,pmi_gap,2.2000,,,2011-03-20,,gro.pmi - 50
2011-03,m1_m2_gap,-1.2000,,,2011-03-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2011-02)
2011-04,ey,7.0621,,,2011-04-29,,100/PE_ttm
2011-04,eyg,3.1908,,,2011-04-29,,100/PE_ttm - cn10y
2011-04,term_spread,0.7733,,,2011-04-29,,cn10y - cn2y
2011-04,pmi_gap,3.4000,,,2011-04-20,,gro.pmi - 50
2011-04,m1_m2_gap,-1.6000,,,2011-04-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2011-03)
2011-05,ey,7.4906,,,2011-05-31,,100/PE_ttm
2011-05,eyg,3.6595,,,2011-05-31,,100/PE_ttm - cn10y
2011-05,term_spread,0.6486,,,2011-05-31,,cn10y - cn2y
2011-05,pmi_gap,2.9000,,,2011-05-20,,gro.pmi - 50
2011-05,m1_m2_gap,-2.4000,,,2011-05-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2011-04)
2011-06,ey,7.4460,,,2011-06-30,,100/PE_ttm
2011-06,eyg,3.5603,,,2011-06-30,,100/PE_ttm - cn10y
2011-06,term_spread,0.4138,,,2011-06-30,,cn10y - cn2y
2011-06,pmi_gap,2.0000,,,2011-06-20,,gro.pmi - 50
2011-06,m1_m2_gap,-2.4000,,,2011-06-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2011-05)
2011-07,ey,7.5873,,,2011-07-29,,100/PE_ttm
2011-07,eyg,3.5396,,,2011-07-29,,100/PE_ttm - cn10y
2011-07,term_spread,0.3235,,,2011-07-29,,cn10y - cn2y
2011-07,pmi_gap,0.9000,,,2011-07-20,,gro.pmi - 50
2011-07,m1_m2_gap,-2.8000,,,2011-07-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2011-06)
2011-08,ey,8.3403,,,2011-08-31,,100/PE_ttm
2011-08,eyg,4.2353,,,2011-08-31,,100/PE_ttm - cn10y
2011-08,term_spread,0.2127,,,2011-08-31,,cn10y - cn2y
2011-08,pmi_gap,0.7000,,,2011-08-20,,gro.pmi - 50
2011-08,m1_m2_gap,-3.1000,,,2011-08-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2011-07)
2011-09,ey,8.9847,,,2011-09-30,,100/PE_ttm
2011-09,eyg,5.1242,,,2011-09-30,,100/PE_ttm - cn10y
2011-09,term_spread,0.1890,,,2011-09-30,,cn10y - cn2y
2011-09,pmi_gap,0.9000,,,2011-09-20,,gro.pmi - 50
2011-09,m1_m2_gap,-2.3000,,,2011-09-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2011-08)
2011-10,ey,8.9127,,,2011-10-31,,100/PE_ttm
2011-10,eyg,5.1520,,,2011-10-31,,100/PE_ttm - cn10y
2011-10,term_spread,0.3405,,,2011-10-31,,cn10y - cn2y
2011-10,pmi_gap,1.2000,,,2011-10-20,,gro.pmi - 50
2011-10,m1_m2_gap,-4.1900,,,2011-10-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2011-09)
2011-11,ey,9.3985,,,2011-11-30,,100/PE_ttm
2011-11,eyg,5.7894,,,2011-11-30,,100/PE_ttm - cn10y
2011-11,term_spread,0.6238,,,2011-11-30,,cn10y - cn2y
2011-11,pmi_gap,0.4000,,,2011-11-20,,gro.pmi - 50
2011-11,m1_m2_gap,-4.5000,,,2011-11-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2011-10)
2011-12,ey,9.7466,,,2011-12-30,,100/PE_ttm
2011-12,eyg,6.3163,,,2011-12-30,,100/PE_ttm - cn10y
2011-12,term_spread,0.6150,,,2011-12-30,,cn10y - cn2y
2011-12,pmi_gap,-1.0000,,,2011-12-20,,gro.pmi - 50
2011-12,m1_m2_gap,-4.9000,,,2011-12-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2011-11)
2012-01,ey,9.2421,,,2012-01-31,,100/PE_ttm
2012-01,eyg,5.8357,,,2012-01-31,,100/PE_ttm - cn10y
2012-01,term_spread,0.5658,,,2012-01-31,,cn10y - cn2y
2012-01,pmi_gap,0.3000,,,2012-01-20,,gro.pmi - 50
2012-01,m1_m2_gap,-5.7000,,,2012-01-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2011-12)
2012-02,ey,8.8106,,,2012-02-29,,100/PE_ttm
2012-02,eyg,5.2766,,,2012-02-29,,100/PE_ttm - cn10y
2012-02,term_spread,0.5186,,,2012-02-29,,cn10y - cn2y
2012-02,pmi_gap,0.5000,,,2012-02-20,,gro.pmi - 50
2012-02,m1_m2_gap,-9.3000,,,2012-02-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2012-01)
2012-03,ey,9.3197,,,2012-03-30,,100/PE_ttm
2012-03,eyg,5.8143,,,2012-03-30,,100/PE_ttm - cn10y
2012-03,term_spread,0.6467,,,2012-03-30,,cn10y - cn2y
2012-03,pmi_gap,1.0000,,,2012-03-20,,gro.pmi - 50
