decision_month,value,na_reason,feature_regime,note
2023-08,9.22,,AFRE_DERIVED,r_t=2023-07
2023-09,9.31,,AFRE_DERIVED,r_t=2023-08
2023-10,9.35,,AFRE_DERIVED,r_t=2023-09
2023-11,9.59,,AFRE_DERIVED,r_t=2023-10
2023-12,9.67,,AFRE_DERIVED,r_t=2023-11
2024-01,9.84,,AFRE_DERIVED,r_t=2023-12
2024-02,9.51,,AFRE_DERIVED,r_t=2024-01
2024-03,8.97,,AFRE_DERIVED,r_t=2024-02
2024-04,8.72,,AFRE_DERIVED,r_t=2024-03
2024-05,8.33,,AFRE_DERIVED,r_t=2024-04
2024-06,8.44,,AFRE_DERIVED,r_t=2024-05
2024-07,8.12,,AFRE_DERIVED,r_t=2024-06
2024-08,8.19,,AFRE_DERIVED,r_t=2024-07
2024-09,8.13,,AFRE_DERIVED,r_t=2024-08
2024-10,7.97,,AFRE_DERIVED,r_t=2024-09
2024-11,7.83,,AFRE_DERIVED,r_t=2024-10
2024-12,7.76,,AFRE_DERIVED,r_t=2024-11
2025-01,8.00,,AFRE_DERIVED,r_t=2024-12
2025-02,8.04,,AFRE_DERIVED,r_t=2025-01
2025-03,8.18,,AFRE_DERIVED,r_t=2025-02
2025-04,8.36,,AFRE_DERIVED,r_t=2025-03
2025-05,8.74,,AFRE_DERIVED,r_t=2025-04
2025-06,8.73,,AFRE_DERIVED,r_t=2025-05
2025-07,8.89,,AFRE_DERIVED,r_t=2025-06
2025-08,8.98,,AFRE_DERIVED,r_t=2025-07
2025-09,8.81,,AFRE_DERIVED,r_t=2025-08
2025-10,8.68,,AFRE_DERIVED,r_t=2025-09
2025-11,8.49,,AFRE_DERIVED,r_t=2025-10
2025-12,8.50,,AFRE_DERIVED,r_t=2025-11
2026-01,8.27,,AFRE_DERIVED,r_t=2025-12
2026-02,8.17,,AFRE_DERIVED,r_t=2026-01
2026-03,8.17,,AFRE_DERIVED,r_t=2026-02
2026-04,7.92,,AFRE_DERIVED,r_t=2026-03
2026-05,7.76,,AFRE_DERIVED,r_t=2026-04
2026-06,7.66,,AFRE_DERIVED,r_t=2026-05
2026-07,7.40,,AFRE_DERIVED,r_t=2026-06
